start,end,today,deviceid,date_survey,enumerator_id,select_one_organisation_name,org_name_other,governorate_ID,district_ID,market_name,type_area,fuel_prices,cash_feasibility_fuel,cash_feasibility_fuel/Cash,cash_feasibility_fuel/Mobile_money,cash_feasibility_fuel/Credit_debit_Card,cash_feasibility_fuel/Prepaid_cards,cash_feasibility_fuel/Credit,cash_feasibility_fuel/Vouchers,cash_feasibility_fuel/Bartering,cash_feasibility_fuel/Other,cash_feasibility_fuel/Do_not_know,Other_cash_feasibility_fuel,sell_petrol,quantity_1L_petrol,quantity_other_petrol,price_petrol,calc_price_petrol,price_petrol_normalised,price_petrol_display,sell_diesel,quantity_1L_diesel,quantity_other_diesel,price_diesel,calc_price_diesel,price_diesel_normalised,price_diesel_display,fuel_gov_origin,fuel_restock_days_min,fuel_constraints_multiple,fuel_constraints_multiple/Price_inflation,fuel_constraints_multiple/Liquidity_shortage,fuel_constraints_multiple/Shortage_of_demand,fuel_constraints_multiple/Insecurity_and_instability,fuel_constraints_multiple/Supply_shortage,fuel_constraints_multiple/Government_regulations,fuel_constraints_multiple/Transportation_issues,fuel_constraints_multiple/Other_see_next_question,fuel_constraints_multiple/Do_not_know,fuel_constraints_multiple/No_constraints,fuel_constraints_multiple/Vendor_did_not_answer,wash_list,wash_prices,cash_feasibility_wash,cash_feasibility_wash/Cash,cash_feasibility_wash/Mobile_money,cash_feasibility_wash/Credit_debit_Card,cash_feasibility_wash/Prepaid_cards,cash_feasibility_wash/Credit,cash_feasibility_wash/Vouchers,cash_feasibility_wash/Bartering,cash_feasibility_wash/Other,cash_feasibility_wash/Do_not_know,Other_cash_feasibility_wash,sell_bottled_water,quantity_0.75L,bottled_quantity_other,price_bottled_water,calc_price_bottled_water,price_bottled_water_normalised,price_bottled_water_display,sell_treated_water,quantity_10L,treated_quantity_other,price_treated_water,calc_price_treated_water,price_treated_water_normalised,price_treated_water_display,sell_soap,quantity_1bar,soap_quantity_other,price_soap,calc_price_soap,price_soap_normalised,price_soap_display,sell_laundry_powder,quantity_100g,laundry_quantity_other,price_laundry_powder,calc_price_laundry,price_laundry_powder_normalised,price_laundry_powder_display,sell_sanitary_napkins,quantity_10units,napkins_quantity_other,price_sanitary_napkins,calc_price_sanitary,price_sanitary_napkins_normalised,price_sanitary_napkins_display,wash_gov_origin,wash_type_supplier,wash_restock_days_min,wash_constraints_multiple,wash_constraints_multiple/Price_inflation,wash_constraints_multiple/Liquidity_shortage,wash_constraints_multiple/Shortage_of_demand,wash_constraints_multiple/Insecurity_and_instability,wash_constraints_multiple/Supply_shortage,wash_constraints_multiple/Government_regulations,wash_constraints_multiple/Transportation_issues,wash_constraints_multiple/Other_see_next_question,wash_constraints_multiple/Do_not_know,wash_constraints_multiple/No_constraints,wash_constraints_multiple/Vendor_did_not_answer,water_trucking_prices,cash_feasibility_water_trucking,cash_feasibility_water_trucking/Cash,cash_feasibility_water_trucking/Mobile_money,cash_feasibility_water_trucking/Credit_debit_Card,cash_feasibility_water_trucking/Prepaid_cards,cash_feasibility_water_trucking/Credit,cash_feasibility_water_trucking/Vouchers,cash_feasibility_water_trucking/Bartering,cash_feasibility_water_trucking/Other,cash_feasibility_water_trucking/Do_not_know,Other_cash_feasibility_water_trucking,capacity_truck,type_owner,type_water,water_chlorinated,cost_cubic_meter,location_source,price_cubic_meter,distance_travelled,distance_price,additional_cost_5,additional_cost_10,constraints_multiple,constraints_multiple/Price_inflation,constraints_multiple/Liquidity_shortage,constraints_multiple/Shortage_of_demand,constraints_multiple/Insecurity_and_instability,constraints_multiple/Supply_shortage,constraints_multiple/Government_regulations,constraints_multiple/Transportation_issues,constraints_multiple/Other_see_next_question,constraints_multiple/Do_not_know,constraints_multiple/No_constraints,constraints_multiple/Vendor_did_not_answer,exchange_rate,exchange_rate_result,note_exchange_rate,mrk_supply_routes,mrk_supply_issues,mrk_supply_issues/dmg_infra_market,mrk_supply_issues/dmg_infra_sorrounding,mrk_supply_issues/dmg_storage,mrk_supply_issues/move_restriction,mrk_supply_issues/other,mrk_supply_issues/did_not_answer,mrk_supply_issues_other,mrk_dmg_infra,mrk_dmg_infra/road,mrk_dmg_infra/electrical,mrk_dmg_infra/water,mrk_dmg_infra/communication,mrk_dmg_infra/other,mrk_dmg_infra_other,mrk_increse_fuel_50,mrk_increse_fuel_100,mrk_increse_WASH_50,mrk_increse_WASH_100,mrk_increse_water_50,mrk_increse_water_100,further_comments,__version__,_id,_uuid,_submission_time,_validation_status,_index
2019-05-30T11:52:31.217+03:00,2019-05-30T12:24:19.040+03:00,5/30/2019,ee.humanitarianresponse.info:WnOLuC21knpIED0l,5/26/2019,Aseel,SCI,,YE29,YE2915,Amran City Market,Urban,yes,Cash,1,0,0,0,0,0,0,0,0,,yes,yes,,365,365,,,yes,yes,,425,425,,,YE18,6,Price_inflation Transportation_issues,1,0,0,0,0,0,1,0,0,0,0,,no,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,no,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,yes,552,,yes,move_restriction,0,0,0,1,0,0,,,,,,,,,yes,no,yes,no,yes,no,,v2ZtbFxdMLUeS6K3smMjSx,57090590,00c52f5e-8f5b-4d27-8792-814fa62bf782,2019-05-30T09:24:25,,191
2019-05-30T16:36:48.077+03:00,2019-05-30T16:44:22.537+03:00,5/30/2019,ee.humanitarianresponse.info:PZQr9qnBFQty0Mhn,5/30/2019,عمر,TYF,,YE15,YE1520,Al Ramada Market,Urban,yes,Cash,1,0,0,0,0,0,0,0,0,,yes,yes,,435,435,,,yes,yes,,420,420,,,Do_not_know,,Price_inflation Insecurity_and_instability Supply_shortage Government_regulations,1,0,0,1,1,1,0,0,0,0,0,,yes,Cash,1,0,0,0,0,0,0,0,0,,yes,yes,,130,130,,,yes,yes,,100,100,,,yes,no,125,300,192,,,yes,yes,,130,130,,,yes,yes,,550,550,,,YE15,Wholesaler,,Price_inflation Insecurity_and_instability,1,0,0,1,0,0,0,0,0,0,0,yes,Cash,1,0,0,0,0,0,0,0,0,,6,Private,Pumping_Station_or_Borehole,no,2000,3,,20,yes,2000,3500,Price_inflation Shortage_of_demand Insecurity_and_instability,1,0,1,1,0,0,0,0,0,0,0,yes,540,,no,,,,,,,,,,,,,,,,yes,no,yes,no,yes,no,,v2ZtbFxdMLUeS6K3smMjSx,57122910,018df2ef-c45b-4da8-8de3-33b2372e1f2f,2019-05-30T13:55:04,,217
2019-05-30T14:38:01.945+03:00,2019-05-30T14:53:36.300+03:00,5/30/2019,ee.humanitarianresponse.info:PZQr9qnBFQty0Mhn,5/30/2019,عمر,TYF,,YE15,YE1520,Al Zandani Market,Urban,yes,Cash,1,0,0,0,0,0,0,0,0,,yes,yes,,425,425,,,yes,yes,,410,410,,,YE24,3,Price_inflation Insecurity_and_instability Government_regulations,1,0,0,1,0,1,0,0,0,0,0,,yes,Cash,1,0,0,0,0,0,0,0,0,,yes,yes,,100,100,,,yes,yes,,100,100,,,yes,yes,,180,180,,,yes,yes,,120,120,,,yes,yes,,550,550,,,YE15,Wholesaler,2,Price_inflation Insecurity_and_instability,1,0,0,1,0,0,0,0,0,0,0,yes,Cash,1,0,0,0,0,0,0,0,0,,6,Private,Pumping_Station_or_Borehole,no,2000,2,,30,yes,2000,3500,Shortage_of_demand,0,0,1,0,0,0,0,0,0,0,0,yes,550,,no,,,,,,,,,,,,,,,,yes,no,yes,no,yes,no,,v2ZtbFxdMLUeS6K3smMjSx,57122675,028b6970-9566-413e-83f5-50cc1c7a6dec,2019-05-30T13:54:27,,206
2019-05-29T17:40:17.183+03:00,2019-05-29T20:40:19.188+03:00,5/29/2019,ee.humanitarianresponse.info:tg8ZXrb5efPufLUa,5/27/2019,Mohammed,TYF,,YE15,YE1512,Dimnat Khadir Market,Urban,yes,Cash,1,0,0,0,0,0,0,0,0,,yes,yes,,365,365,,,yes,yes,,410,410,,,YE18,4,Price_inflation Supply_shortage,1,0,0,0,1,0,0,0,0,0,0,,yes,Cash,1,0,0,0,0,0,0,0,0,,yes,yes,,120,120,,,yes,yes,,100,100,,,yes,no,75,150,160,,,yes,no,110,120,109,,,yes,yes,,400,400,,,YE15,Wholesaler,2,Price_inflation Shortage_of_demand,1,0,1,0,0,0,0,0,0,0,0,yes,Cash,1,0,0,0,0,0,0,0,0,,3,Private,Pumping_Station_or_Borehole,no,,3,,5,yes,1500,0,Shortage_of_demand,0,0,1,0,0,0,0,0,0,0,0,yes,530,,no,,,,,,,,,,,,,,,,yes,no,yes,yes,yes,yes,,v2ZtbFxdMLUeS6K3smMjSx,57047328,034f2c70-6424-4d89-b8ba-d55d8c79740b,2019-05-29T17:40:31,,11
2019-05-28T23:01:24.313+03:00,2019-05-28T23:14:55.959+03:00,5/28/2019,ee.humanitarianresponse.info:hca95YVAmfvWPxka,5/27/2019,ابراهيم,TYF,,YE11,YE1107,Mafraq Habeesh,Urban,no,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,yes,Cash,1,0,0,0,0,0,0,0,0,,yes,yes,,120,120,,,yes,no,5,250,500,,,yes,yes,,150,150,,,yes,yes,,100,100,,,yes,yes,,500,500,,,YE11,Wholesaler,2,Price_inflation Liquidity_shortage Shortage_of_demand Insecurity_and_instability Supply_shortage Government_regulations,1,1,1,1,1,1,0,0,0,0,0,no,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,no,,,no,,,,,,,,,,,,,,,,no,no,no,no,no,no,,v2ZtbFxdMLUeS6K3smMjSx,56955959,0bc61bf8-3fd2-4e63-8ddc-80ec7deffcbc,2019-05-28T20:15:04,,136
2019-05-27T22:07:28.003+03:00,2019-05-29T17:40:16.407+03:00,5/27/2019,ee.humanitarianresponse.info:tg8ZXrb5efPufLUa,5/27/2019,Mohammed,TYF,,YE15,YE1512,dimnat khadir market,Urban,yes,Cash,1,0,0,0,0,0,0,0,0,,yes,yes,,365,365,,,yes,yes,,410,410,,,YE18,6,Liquidity_shortage Supply_shortage,0,1,0,0,1,0,0,0,0,0,0,,yes,Cash,1,0,0,0,0,0,0,0,0,,yes,yes,,150,150,,,yes,yes,,100,100,,,yes,yes,,150,150,,,yes,no,110,120,109,,,yes,yes,,450,450,,,YE15,Wholesaler,3,Price_inflation Shortage_of_demand,1,0,1,0,0,0,0,0,0,0,0,yes,Cash,1,0,0,0,0,0,0,0,0,,8,Private,Pumping_Station_or_Borehole,no,2000,3,,10,yes,1000,2000,Supply_shortage,0,0,0,0,1,0,0,0,0,0,0,yes,530,,no,,,,,,,,,,,,,,,,no,no,yes,yes,yes,no,,v2ZtbFxdMLUeS6K3smMjSx,57024081,16d16024-0235-4d7d-93ec-876579c1ac64,2019-05-29T14:40:26,,187
2019-05-28T23:32:18.023+03:00,2019-05-28T23:35:56.815+03:00,5/28/2019,ee.humanitarianresponse.info:hca95YVAmfvWPxka,5/27/2019,ابراهيم,TYF,,YE11,YE1107,Al Daleel,Urban,yes,Cash,1,0,0,0,0,0,0,0,0,,yes,yes,,480,480,,,yes,yes,,470,470,,,YE11,4,Price_inflation Transportation_issues,1,0,0,0,0,0,1,0,0,0,0,,no,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,no,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,no,,,yes,did_not_answer,0,0,0,0,0,1,,,,,,,,,no,no,no,no,no,no,,v2ZtbFxdMLUeS6K3smMjSx,56956747,196d9343-767f-45b9-a36a-903b71a4a44b,2019-05-28T20:36:05,,142
2019-05-30T15:19:05.293+03:00,2019-05-30T15:43:48.594+03:00,5/30/2019,ee.humanitarianresponse.info:PZQr9qnBFQty0Mhn,5/30/2019,عمر,TYF,,YE15,YE1520,Mawieh Mafraq Market,Urban,yes,Cash,1,0,0,0,0,0,0,0,0,,yes,yes,,410,410,,,yes,yes,,425,425,,,YE24,8,Price_inflation Insecurity_and_instability Government_regulations,1,0,0,1,0,1,0,0,0,0,0,,yes,Cash,1,0,0,0,0,0,0,0,0,,yes,yes,,100,100,,,yes,yes,,100,100,,,yes,no,135,350,207,,,yes,yes,,130,130,,,yes,yes,,500,500,,,YE15,Wholesaler,1,Price_inflation,1,0,0,0,0,0,0,0,0,0,0,yes,Cash,1,0,0,0,0,0,0,0,0,,3,Private,Pumping_Station_or_Borehole,no,2000,2,,8,no,,,Price_inflation,1,0,0,0,0,0,0,0,0,0,0,yes,545,,no,,,,,,,,,,,,,,,,yes,no,yes,no,yes,no,,v2ZtbFxdMLUeS6K3smMjSx,57122763,1d22e9b5-c888-44fe-9c2c-61a195d378db,2019-05-30T13:54:39,,210
2019-05-26T01:03:08.784+03:00,2019-05-26T01:11:42.370+03:00,5/26/2019,ee.humanitarianresponse.info:5IJWKe8I4JMjKHF5,5/25/2019,فتحية,TYF,,YE15,YE1508,Al Mafraq,Urban,no,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,yes,Cash,1,0,0,0,0,0,0,0,0,,yes,yes,,150,150,,,no,,,,,,,yes,yes,,150,150,,,yes,yes,,80,80,,,no,,,,,,,YE15,Wholesaler,1,Shortage_of_demand,0,0,1,0,0,0,0,0,0,0,0,no,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,no,,,no,,,,,,,,,,,,,,,,no,no,yes,yes,no,no,,v2ZtbFxdMLUeS6K3smMjSx,56686555,2a608fda-2b9f-4566-ab57-48ba85b9cea1,2019-05-26T13:30:52,,97
2019-05-29T21:58:00.222+03:00,2019-05-29T22:03:07.261+03:00,5/29/2019,ee.humanitarianresponse.info:tg8ZXrb5efPufLUa,5/27/2019,Mohammed,TYF,,YE15,YE1512,Ar Rahedah,Urban,yes,Cash,1,0,0,0,0,0,0,0,0,,yes,yes,,360,360,,,yes,yes,,400,400,,,YE18,5,Price_inflation,1,0,0,0,0,0,0,0,0,0,0,,yes,Cash,1,0,0,0,0,0,0,0,0,,yes,yes,,150,150,,,yes,yes,,100,100,,,yes,no,75,150,160,,,yes,yes,,80,80,,,yes,yes,,450,450,,,YE15,Wholesaler,2,Price_inflation,1,0,0,0,0,0,0,0,0,0,0,yes,Cash,1,0,0,0,0,0,0,0,0,,6,Private,Pumping_Station_or_Borehole,no,,3,,10,yes,1500,2000,Supply_shortage Other_see_next_question,0,0,0,0,1,0,0,1,0,0,0,yes,530,,no,,,,,,,,,,,,,,,,yes,no,yes,yes,yes,yes,,v2ZtbFxdMLUeS6K3smMjSx,57051918,2f5cf8bb-4112-4b6f-a4fd-248d6f949cd3,2019-05-29T19:03:26,,7
