start,end,today,deviceid,date_survey,enumerator_id,select_one_organisation_name,org_name_other,governorate_ID,district_ID,market_name,type_area,fuel_prices,cash_feasibility_fuel,cash_feasibility_fuel/Cash,cash_feasibility_fuel/Mobile_money,cash_feasibility_fuel/Credit_debit_Card,cash_feasibility_fuel/Prepaid_cards,cash_feasibility_fuel/Credit,cash_feasibility_fuel/Vouchers,cash_feasibility_fuel/Bartering,cash_feasibility_fuel/Other,cash_feasibility_fuel/Do_not_know,Other_cash_feasibility_fuel,sell_petrol,quantity_1L_petrol,quantity_other_petrol,price_petrol,calc_price_petrol,price_petrol_normalised,price_petrol_display,sell_diesel,quantity_1L_diesel,quantity_other_diesel,price_diesel,calc_price_diesel,price_diesel_normalised,price_diesel_display,fuel_gov_origin,fuel_restock_days_min,fuel_constraints_multiple,fuel_constraints_multiple/Price_inflation,fuel_constraints_multiple/Liquidity_shortage,fuel_constraints_multiple/Shortage_of_demand,fuel_constraints_multiple/Insecurity_and_instability,fuel_constraints_multiple/Supply_shortage,fuel_constraints_multiple/Government_regulations,fuel_constraints_multiple/Transportation_issues,fuel_constraints_multiple/Other_see_next_question,fuel_constraints_multiple/Do_not_know,fuel_constraints_multiple/No_constraints,fuel_constraints_multiple/Vendor_did_not_answer,fuel_constraints_other,wash_list,wash_prices,cash_feasibility_wash,cash_feasibility_wash/Cash,cash_feasibility_wash/Mobile_money,cash_feasibility_wash/Credit_debit_Card,cash_feasibility_wash/Prepaid_cards,cash_feasibility_wash/Credit,cash_feasibility_wash/Vouchers,cash_feasibility_wash/Bartering,cash_feasibility_wash/Other,cash_feasibility_wash/Do_not_know,Other_cash_feasibility_wash,sell_bottled_water,quantity_0.75L,bottled_quantity_other,price_bottled_water,calc_price_bottled_water,price_bottled_water_normalised,price_bottled_water_display,sell_treated_water,quantity_10L,treated_quantity_other,price_treated_water,calc_price_treated_water,price_treated_water_normalised,price_treated_water_display,sell_soap,quantity_1bar,soap_quantity_other,price_soap,calc_price_soap,price_soap_normalised,price_soap_display,sell_laundry_powder,quantity_100g,laundry_quantity_other,price_laundry_powder,calc_price_laundry,price_laundry_powder_normalised,price_laundry_powder_display,sell_sanitary_napkins,quantity_10units,napkins_quantity_other,price_sanitary_napkins,calc_price_sanitary,price_sanitary_napkins_normalised,price_sanitary_napkins_display,wash_gov_origin,wash_type_supplier,wash_restock_days_min,wash_constraints_multiple,wash_constraints_multiple/Price_inflation,wash_constraints_multiple/Liquidity_shortage,wash_constraints_multiple/Shortage_of_demand,wash_constraints_multiple/Insecurity_and_instability,wash_constraints_multiple/Supply_shortage,wash_constraints_multiple/Government_regulations,wash_constraints_multiple/Transportation_issues,wash_constraints_multiple/Other_see_next_question,wash_constraints_multiple/Do_not_know,wash_constraints_multiple/No_constraints,wash_constraints_multiple/Vendor_did_not_answer,wash_constraints_other,water_trucking_prices,cash_feasibility_water_trucking,cash_feasibility_water_trucking/Cash,cash_feasibility_water_trucking/Mobile_money,cash_feasibility_water_trucking/Credit_debit_Card,cash_feasibility_water_trucking/Prepaid_cards,cash_feasibility_water_trucking/Credit,cash_feasibility_water_trucking/Vouchers,cash_feasibility_water_trucking/Bartering,cash_feasibility_water_trucking/Other,cash_feasibility_water_trucking/Do_not_know,Other_cash_feasibility_water_trucking,capacity_truck,type_owner,type_water,water_chlorinated,cost_cubic_meter,location_source,price_cubic_meter,distance_travelled,distance_price,additional_cost_5,additional_cost_10,constraints_multiple,constraints_multiple/Price_inflation,constraints_multiple/Liquidity_shortage,constraints_multiple/Shortage_of_demand,constraints_multiple/Insecurity_and_instability,constraints_multiple/Supply_shortage,constraints_multiple/Government_regulations,constraints_multiple/Transportation_issues,constraints_multiple/Other_see_next_question,constraints_multiple/Do_not_know,constraints_multiple/No_constraints,constraints_multiple/Vendor_did_not_answer,wash_constraints_other_001,exchange_rate,exchange_rate_result,note_exchange_rate,mrk_supply_routes,mrk_supply_issues,mrk_supply_issues/dmg_infra_market,mrk_supply_issues/dmg_infra_sorrounding,mrk_supply_issues/dmg_storage,mrk_supply_issues/move_restriction,mrk_supply_issues/other,mrk_supply_issues/did_not_answer,mrk_supply_issues_other,mrk_dmg_infra,mrk_dmg_infra/road,mrk_dmg_infra/electrical,mrk_dmg_infra/water,mrk_dmg_infra/communication,mrk_dmg_infra/other,mrk_dmg_infra_other,mrk_increse_fuel_50,mrk_increse_fuel_100,mrk_increse_WASH_50,mrk_increse_WASH_100,mrk_increse_water_50,mrk_increse_water_100,further_comments,__version__,_id,_uuid,_submission_time,_validation_status,_index
2019-06-27T09:59:38.573+03,2019-06-27T10:26:34.198+03,2019-06-27,35356208018726,2019-06-26,ناجي,ADRA,,YE13,YE1305,As sab'een,Urban,yes,Cash,1,0,0,0,0,0,0,0,0,,yes,yes,,365,365,,,yes,yes,,430,430,,,YE18,2,Price_inflation,1,0,0,0,0,0,0,0,0,0,0,,,yes,Cash,1,0,0,0,0,0,0,0,0,,yes,yes,,120,120,,,yes,yes,,140,140,,,yes,yes,,120,120,,,yes,yes,,130,130,,,yes,yes,,500,500,,,YE13,Vendor,5,Price_inflation,1,0,0,0,0,0,0,0,0,0,0,,yes,Cash,1,0,0,0,0,0,0,0,0,,5.0,Private,Water_Spring,yes,1000,10,,10,yes,5000,8000,Price_inflation,1,0,0,0,0,0,0,0,0,0,0,,yes,560,,no,,,,,,,,,,,,,,,,no,no,yes,no,yes,no,,v2ZtbFxdMLUeS6K3smMjSx,59712743,9ac01d7f-47e1-4db7-b0df-2477a8820dd6,2019-06-27T07:26:42,,30
2019-06-27T10:27:20.812+03,2019-06-27T10:38:22.392+03,2019-06-27,35356208018726,2019-06-26,ناجي ,ADRA,,YE13,YE1305,Hadda,Urban,yes,Cash,1,0,0,0,0,0,0,0,0,,yes,yes,,365,365,,,yes,yes,,430,430,,,YE18,1,Price_inflation,1,0,0,0,0,0,0,0,0,0,0,,,yes,Cash,1,0,0,0,0,0,0,0,0,,yes,yes,,120,120,,,yes,yes,,150,150,,,yes,yes,,120,120,,,yes,yes,,140,140,,,yes,yes,,490,490,,,YE13,Vendor,3,Price_inflation,1,0,0,0,0,0,0,0,0,0,0,,yes,Cash,1,0,0,0,0,0,0,0,0,,6.0,Private,Pumping_Station_or_Borehole,yes,1200,7,,7,yes,6000,9000,Price_inflation,1,0,0,0,0,0,0,0,0,0,0,,yes,550,,yes,did_not_answer,0,0,0,0,0,1,,,,,,,,,no,no,yes,no,yes,no,,v2ZtbFxdMLUeS6K3smMjSx,59714051,76e9ce88-a014-44c2-b670-b185ac62f59d,2019-06-27T07:38:28,,31
2019-06-27T10:38:44.201+03,2019-06-27T10:44:15.627+03,2019-06-27,35356208018726,2019-06-26, ناجي ,ADRA,,YE13,YE1305,As sneenah,Urban,yes,Cash,1,0,0,0,0,0,0,0,0,,yes,yes,,365,365,,,yes,yes,,430,430,,,YE18,2,Price_inflation,1,0,0,0,0,0,0,0,0,0,0,,,yes,Cash,1,0,0,0,0,0,0,0,0,,yes,yes,,120,120,,,yes,yes,,130,130,,,yes,yes,,130,130,,,yes,yes,,130,130,,,yes,yes,,500,500,,,YE13,Vendor,3,Price_inflation,1,0,0,0,0,0,0,0,0,0,0,,yes,Cash,1,0,0,0,0,0,0,0,0,,6.0,Private,Pumping_Station_or_Borehole,yes,1000,10,,22,yes,5000,8000,Price_inflation,1,0,0,0,0,0,0,0,0,0,0,,yes,560,,no,,,,,,,,,,,,,,,,no,no,no,no,no,no,,v2ZtbFxdMLUeS6K3smMjSx,59714712,f23b01fb-a713-4816-806f-8b1c859d74f8,2019-06-27T07:44:21,,32
2019-07-01T21:56:36.701+03:00,2019-07-01T22:20:47.977+03:00,2019-07-01,ee.humanitarianresponse.info:8XCeBGDx37EAiUbI,2019-06-25,Samah,DRC,,YE21,YE2113,Souq Ataq,Urban,yes,Cash,1,0,0,0,0,0,0,0,0,,yes,yes,,360,360,,,yes,yes,,370,370,,,YE24,7,Supply_shortage,0,0,0,0,1,0,0,0,0,0,0,,,yes,Cash Credit,1,0,0,0,1,0,0,0,0,,yes,yes,,100,100,,,yes,yes,,200,200,,,yes,yes,,100,100,,,yes,yes,,150,150,,,yes,yes,,500,500,,,YE21,Wholesaler,1,Price_inflation,1,0,0,0,0,0,0,0,0,0,0,,yes,Cash,1,0,0,0,0,0,0,0,0,,6,Private,Pumping_Station_or_Borehole,no,1000,30,,40,yes,10000,15000,Transportation_issues,0,0,0,0,0,0,1,0,0,0,0,,yes,556,,no,,,,,,,,,,,,,,,,yes,yes,yes,yes,yes,yes,,v2ZtbFxdMLUeS6K3smMjSx,60251868,10b5dc5b-937f-4bb9-83e0-5a7d8abd9bdd,2019-07-01T19:20:59,,4
2019-07-01T22:07:58.711+03:00,2019-07-01T22:19:29.965+03:00,2019-07-01,ee.humanitarianresponse.info:8XCeBGDx37EAiUbI,2019-07-25,Leena,DRC,,YE21,YE2113,Souq Ataq,Urban,yes,Cash,1,0,0,0,0,0,0,0,0,,yes,yes,,360,360,,,yes,yes,,360,360,,,YE19,3,Supply_shortage,0,0,0,0,1,0,0,0,0,0,0,,,yes,Cash,1,0,0,0,0,0,0,0,0,,yes,yes,,100,100,,,yes,yes,,250,250,,,yes,yes,,100,100,,,yes,yes,,120,120,,,yes,yes,,600,600,,,YE21,Wholesaler,1,Price_inflation Supply_shortage,1,0,0,0,1,0,0,0,0,0,0,,yes,Cash,1,0,0,0,0,0,0,0,0,,7,Public,Pumping_Station_or_Borehole,no,1000,20,,20,no,,,Vendor_did_not_answer,0,0,0,0,0,0,0,0,0,0,1,,yes,556,,no,,,,,,,,,,,,,,,,yes,no,yes,yes,yes,yes,,v2ZtbFxdMLUeS6K3smMjSx,60251695,ccb94526-f24c-475d-917d-ac1fb0ed1f2b,2019-07-01T19:19:40,,5
2019-06-25T22:50:32.071+03:00,2019-06-25T23:20:14.228+03:00,2019-06-25,ee.humanitarianresponse.info:SqywqbOq3a8O4jkI,2019-06-25,Jabir,DRC,,YE21,YE2113,Souq Ataq,Urban,yes,Cash,1,0,0,0,0,0,0,0,0,,yes,yes,,350,350,,,yes,yes,,400,400,,,YE19,2,Insecurity_and_instability,0,0,0,1,0,0,0,0,0,0,0,,,yes,Cash,1,0,0,0,0,0,0,0,0,,yes,yes,,100,100,,,yes,no,20,150,75,,,yes,yes,,250,250,,,yes,no,110,150,136,,,yes,no,1,450,450,,,YE21,Wholesaler,1,Price_inflation Shortage_of_demand,1,0,1,0,0,0,0,0,0,0,0,,yes,Cash,1,0,0,0,0,0,0,0,0,,7,Public,Pumping_Station_or_Borehole,no,1250,7,,8,yes,10000,13000,Shortage_of_demand,0,0,1,0,0,0,0,0,0,0,0,,yes,566,,no,,,,,,,,,,,,,,,,yes,yes,yes,yes,yes,yes,,v2ZtbFxdMLUeS6K3smMjSx,59550073,5668a13c-9c88-4d09-8dfa-42b84924bd97,2019-06-25T20:22:36,,26
2019-06-24T15:25:47.667+03:00,2019-06-24T15:56:48.817+03:00,2019-06-24,ee.humanitarianresponse.info:vB0ZEyle8ctpgDOL,2019-06-24,Mert,DRC,,YE21,YE2114,AlGoul market,Rural,yes,Cash,1,0,0,0,0,0,0,0,0,,yes,yes,,340,340,,,yes,yes,,340,340,,,YE19,4,Price_inflation Liquidity_shortage Supply_shortage,1,1,0,0,1,0,0,0,0,0,0,,,yes,Cash Credit,1,0,0,0,1,0,0,0,0,,yes,yes,,100,100,,,no,,,,,,,yes,yes,,100,100,,,yes,no,110,120,109,,,yes,no,9,500,556,,,YE21,Wholesaler,1,Price_inflation Liquidity_shortage Shortage_of_demand Supply_shortage,1,1,1,0,1,0,0,0,0,0,0,,yes,Cash Credit,1,0,0,0,1,0,0,0,0,,3.6,Private,Pumping_Station_or_Borehole,no,2250,5,,10,yes,15000,20000,Price_inflation Shortage_of_demand Supply_shortage,1,0,1,0,1,0,0,0,0,0,0,,yes,560,,no,,,,,,,,,,,,,,,,yes,yes,yes,no,no,no,,v2ZtbFxdMLUeS6K3smMjSx,59389114,32643258-a236-4430-a380-b313ca26386a,2019-06-24T12:56:57,,20
2019-06-24T15:56:49.086+03:00,2019-06-24T16:08:00.353+03:00,2019-06-24,ee.humanitarianresponse.info:vB0ZEyle8ctpgDOL,2019-06-24,Mert,DRC,,YE21,YE2114,AlGoul market,Rural,no,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,yes,Cash Credit,1,0,0,0,1,0,0,0,0,,yes,yes,,100,100,,,no,,,,,,,yes,yes,,120,120,,,yes,no,110,100,91,,,yes,no,9,550,611,,,YE21,Wholesaler,1,Price_inflation Supply_shortage,1,0,0,0,1,0,0,0,0,0,0,,no,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,yes,560,,no,,,,,,,,,,,,,,,,no,no,yes,yes,no,no,The state's gas station was closed and not many water trucks were available.,v2ZtbFxdMLUeS6K3smMjSx,59390207,f030c7be-cdc7-4c87-b68a-38db2b2c795b,2019-06-24T13:08:07,,21
2019-06-24T15:50:21.509+03:00,2019-06-24T16:08:32.968+03:00,2019-06-24,ee.humanitarianresponse.info:dqe6eGehmlTEwkAq,2019-06-24,Salem,DRC,,YE21,YE2114,Aljool,Rural,yes,Cash,1,0,0,0,0,0,0,0,0,,yes,yes,,335,335,,,yes,yes,,335,335,,,YE19,3,Price_inflation Government_regulations,1,0,0,0,0,1,0,0,0,0,0,,,yes,Cash,1,0,0,0,0,0,0,0,0,,yes,yes,,100,100,,,no,,,,,,,yes,yes,,150,150,,,yes,yes,,120,120,,,yes,yes,,500,500,,,YE21,Wholesaler,1,Price_inflation Insecurity_and_instability,1,0,0,1,0,0,0,0,0,0,0,,yes,Cash Credit,1,0,0,0,1,0,0,0,0,,3,Private,Pumping_Station_or_Borehole,no,3300,4,,20,yes,9000,15000,Price_inflation Liquidity_shortage Shortage_of_demand,1,1,1,0,0,0,0,0,0,0,0,,yes,560,,no,,,,,,,,,,,,,,,,yes,yes,yes,yes,yes,yes,,v2ZtbFxdMLUeS6K3smMjSx,59390256,211d4532-643c-422d-b5b4-b3978080d61c,2019-06-24T13:08:41,,22
2019-06-29T18:01:45.880+03:00,2019-06-29T18:05:45.906+03:00,2019-06-29,ee.humanitarianresponse.info:6zeNqVUjeyQPw603,2019-06-29,عبدالرحمن الحماني,NFHD,,YE13,YE1309,Jamaher shop,Urban,yes,Cash,1,0,0,0,0,0,0,0,0,,yes,yes,,365,365,,,yes,yes,,430,430,,,Do_not_know,,Price_inflation Shortage_of_demand Supply_shortage Transportation_issues,1,0,1,0,1,0,1,0,0,0,0,,,yes,Cash,1,0,0,0,0,0,0,0,0,,yes,yes,,100,100,,,yes,yes,,290,290,,,yes,yes,,150,150,,,yes,yes,,100,100,,,yes,yes,,500,500,,,YE13,Wholesaler,,Price_inflation Transportation_issues,1,0,0,0,0,0,1,0,0,0,0,,yes,Cash,1,0,0,0,0,0,0,0,0,,3,Private,Pumping_Station_or_Borehole,Do_not_know,1900,2,,2,no,,,Price_inflation Transportation_issues,1,0,0,0,0,0,1,0,0,0,0,,yes,560,,yes,did_not_answer,0,0,0,0,0,1,,,,,,,,,yes,yes,yes,yes,yes,yes,,v2ZtbFxdMLUeS6K3smMjSx,60034717,ecbc900a-e45d-4b85-882f-171bed9fd395,2019-06-29T15:05:55,,80
2019-06-29T18:05:46.820+03:00,2019-06-29T18:09:25.333+03:00,2019-06-29,ee.humanitarianresponse.info:6zeNqVUjeyQPw603,2019-06-29,عبدالرحمن الحماني,NFHD,,YE13,YE1309,As sme'ey shop,Urban,yes,Cash,1,0,0,0,0,0,0,0,0,,yes,yes,,365,365,,,yes,yes,,430,430,,,YE18,10,Price_inflation Supply_shortage Transportation_issues,1,0,0,0,1,0,1,0,0,0,0,,,yes,Cash,1,0,0,0,0,0,0,0,0,,yes,yes,,100,100,,,yes,yes,,300,300,,,yes,yes,,150,150,,,yes,yes,,100,100,,,yes,yes,,450,450,,,YE13,Wholesaler,1,Price_inflation Transportation_issues,1,0,0,0,0,0,1,0,0,0,0,,yes,Cash,1,0,0,0,0,0,0,0,0,,3,Private,Pumping_Station_or_Borehole,no,1800,2,,2,no,,,Price_inflation Transportation_issues,1,0,0,0,0,0,1,0,0,0,0,,yes,565,,yes,did_not_answer,0,0,0,0,0,1,,,,,,,,,yes,yes,yes,yes,yes,yes,,v2ZtbFxdMLUeS6K3smMjSx,60036751,60678191-06f8-4af8-b324-020bf56c8974,2019-06-29T15:23:57,,81
2019-06-29T18:09:26.772+03:00,2019-06-29T18:12:32.264+03:00,2019-06-29,ee.humanitarianresponse.info:6zeNqVUjeyQPw603,2019-06-29,عبدالرحمن الحماني,NFHD,,YE13,YE1309,Al mintab shop,Urban,yes,Cash,1,0,0,0,0,0,0,0,0,,yes,yes,,365,365,,,yes,yes,,430,430,,,YE18,12,Price_inflation,1,0,0,0,0,0,0,0,0,0,0,,,yes,Cash,1,0,0,0,0,0,0,0,0,,yes,yes,,110,110,,,yes,yes,,280,280,,,yes,yes,,130,130,,,yes,yes,,100,100,,,yes,yes,,420,420,,,YE13,Wholesaler,1,Price_inflation Transportation_issues,1,0,0,0,0,0,1,0,0,0,0,,yes,Cash,1,0,0,0,0,0,0,0,0,,2,Private,Pumping_Station_or_Borehole,no,1800,2,,2,no,,,Price_inflation Transportation_issues,1,0,0,0,0,0,1,0,0,0,0,,yes,562,,yes,did_not_answer,0,0,0,0,0,1,,,,,,,,,yes,yes,yes,yes,yes,yes,,v2ZtbFxdMLUeS6K3smMjSx,60036752,2d8b927c-443e-44d8-aeb0-0d118746d36e,2019-06-29T15:23:58,,82
2019-06-29T18:12:34.223+03:00,2019-06-29T18:15:31.049+03:00,2019-06-29,ee.humanitarianresponse.info:6zeNqVUjeyQPw603,2019-06-29,شرهان مشلي,NFHD,,YE23,YE2312,Ma'id shop,Rural,yes,Cash,1,0,0,0,0,0,0,0,0,,yes,yes,,365,365,,,yes,yes,,430,430,,,Do_not_know,,Price_inflation,1,0,0,0,0,0,0,0,0,0,0,,,yes,Cash,1,0,0,0,0,0,0,0,0,,yes,yes,,100,100,,,no,,,,,,,yes,yes,,150,150,,,yes,yes,,110,110,,,yes,yes,,500,500,,,YE23,Wholesaler,,Price_inflation Transportation_issues,1,0,0,0,0,0,1,0,0,0,0,,yes,Cash,1,0,0,0,0,0,0,0,0,,2,Private,Pumping_Station_or_Borehole,no,2000,3,,3,no,,,Price_inflation Transportation_issues,1,0,0,0,0,0,1,0,0,0,0,,yes,560,,yes,did_not_answer,0,0,0,0,0,1,,,,,,,,,yes,yes,yes,yes,no,no,,v2ZtbFxdMLUeS6K3smMjSx,60036754,e057ca6e-c708-4c0a-b5c4-7acf0195cd22,2019-06-29T15:23:59,,83
