start,end,today,deviceid,date_survey,enumerator_id,select_one_organisation_name,org_name_other,governorate_ID,district_ID,market_name,type_area,fuel_prices,cash_feasibility_fuel,cash_feasibility_fuel/Cash,cash_feasibility_fuel/Mobile_money,cash_feasibility_fuel/Credit_debit_Card,cash_feasibility_fuel/Prepaid_cards,cash_feasibility_fuel/Credit,cash_feasibility_fuel/Vouchers,cash_feasibility_fuel/Bartering,cash_feasibility_fuel/Other,cash_feasibility_fuel/Do_not_know,Other_cash_feasibility_fuel,sell_petrol,quantity_1L_petrol,quantity_other_petrol,price_petrol,calc_price_petrol,price_petrol_normalised,price_petrol_display,sell_diesel,quantity_1L_diesel,quantity_other_diesel,price_diesel,calc_price_diesel,price_diesel_normalised,price_diesel_display,fuel_gov_origin,fuel_restock_days_min,fuel_constraints_multiple,fuel_constraints_multiple/Price_inflation,fuel_constraints_multiple/Liquidity_shortage,fuel_constraints_multiple/Shortage_of_demand,fuel_constraints_multiple/Insecurity_and_instability,fuel_constraints_multiple/Supply_shortage,fuel_constraints_multiple/Government_regulations,fuel_constraints_multiple/Transportation_issues,fuel_constraints_multiple/Other_see_next_question,fuel_constraints_multiple/Do_not_know,fuel_constraints_multiple/No_constraints,fuel_constraints_multiple/Vendor_did_not_answer,fuel_constraints_other,wash_list,wash_prices,cash_feasibility_wash,cash_feasibility_wash/Cash,cash_feasibility_wash/Mobile_money,cash_feasibility_wash/Credit_debit_Card,cash_feasibility_wash/Prepaid_cards,cash_feasibility_wash/Credit,cash_feasibility_wash/Vouchers,cash_feasibility_wash/Bartering,cash_feasibility_wash/Other,cash_feasibility_wash/Do_not_know,Other_cash_feasibility_wash,sell_bottled_water,quantity_0.75L,bottled_quantity_other,price_bottled_water,calc_price_bottled_water,price_bottled_water_normalised,price_bottled_water_display,sell_treated_water,quantity_10L,treated_quantity_other,price_treated_water,calc_price_treated_water,price_treated_water_normalised,price_treated_water_display,sell_soap,quantity_1bar,soap_quantity_other,price_soap,calc_price_soap,price_soap_normalised,price_soap_display,sell_laundry_powder,quantity_100g,laundry_quantity_other,price_laundry_powder,calc_price_laundry,price_laundry_powder_normalised,price_laundry_powder_display,sell_sanitary_napkins,quantity_10units,napkins_quantity_other,price_sanitary_napkins,calc_price_sanitary,price_sanitary_napkins_normalised,price_sanitary_napkins_display,wash_gov_origin,wash_type_supplier,wash_restock_days_min,wash_constraints_multiple,wash_constraints_multiple/Price_inflation,wash_constraints_multiple/Liquidity_shortage,wash_constraints_multiple/Shortage_of_demand,wash_constraints_multiple/Insecurity_and_instability,wash_constraints_multiple/Supply_shortage,wash_constraints_multiple/Government_regulations,wash_constraints_multiple/Transportation_issues,wash_constraints_multiple/Other_see_next_question,wash_constraints_multiple/Do_not_know,wash_constraints_multiple/No_constraints,wash_constraints_multiple/Vendor_did_not_answer,wash_constraints_other,water_trucking_prices,cash_feasibility_water_trucking,cash_feasibility_water_trucking/Cash,cash_feasibility_water_trucking/Mobile_money,cash_feasibility_water_trucking/Credit_debit_Card,cash_feasibility_water_trucking/Prepaid_cards,cash_feasibility_water_trucking/Credit,cash_feasibility_water_trucking/Vouchers,cash_feasibility_water_trucking/Bartering,cash_feasibility_water_trucking/Other,cash_feasibility_water_trucking/Do_not_know,Other_cash_feasibility_water_trucking,capacity_truck,type_owner,type_water,water_chlorinated,cost_cubic_meter,location_source,price_cubic_meter,distance_travelled,distance_price,additional_cost_5,additional_cost_10,constraints_multiple,constraints_multiple/Price_inflation,constraints_multiple/Liquidity_shortage,constraints_multiple/Shortage_of_demand,constraints_multiple/Insecurity_and_instability,constraints_multiple/Supply_shortage,constraints_multiple/Government_regulations,constraints_multiple/Transportation_issues,constraints_multiple/Other_see_next_question,constraints_multiple/Do_not_know,constraints_multiple/No_constraints,constraints_multiple/Vendor_did_not_answer,wash_constraints_other_001,exchange_rate,exchange_rate_result,note_exchange_rate,mrk_supply_routes,mrk_supply_issues,mrk_supply_issues/dmg_infra_market,mrk_supply_issues/dmg_infra_sorrounding,mrk_supply_issues/dmg_storage,mrk_supply_issues/move_restriction,mrk_supply_issues/other,mrk_supply_issues/did_not_answer,mrk_supply_issues_other,mrk_dmg_infra,mrk_dmg_infra/road,mrk_dmg_infra/electrical,mrk_dmg_infra/water,mrk_dmg_infra/communication,mrk_dmg_infra/other,mrk_dmg_infra_other,mrk_increse_fuel_50,mrk_increse_fuel_100,mrk_increse_WASH_50,mrk_increse_WASH_100,mrk_increse_water_50,mrk_increse_water_100,further_comments,__version__,_version_,_id,_uuid,_submission_time,_validation_status,_index
2019-08-28T19:26:33.354+03:00,2019-08-28T19:32:22.466+03:00,8/28/2019,ee.humanitarianresponse.info:2bJa409xXQb36DYZ,8/28/2019,فتحية,TYF,,YE15,YE1508,Albairein,Urban,no,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,yes,Cash Mobile_money,1,1,0,0,0,0,0,0,0,,yes,yes,,150,150,,,no,,,,,,,yes,yes,,100,100,,,yes,yes,,80,80,,,yes,yes,,450,450,,,YE15,Wholesaler,1,Price_inflation,1,0,0,0,0,0,0,0,0,0,0,,no,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,no,,,yes,move_restriction,0,0,0,1,0,0,,,,,,,,,no,no,yes,yes,no,no,,v2ZtbFxdMLUeS6K3smMjSx,vKytKhh6ddUjNzJMkxPdc8,66044989,0126d60d-25fb-4a2b-bc2b-3c989be686fc,2019-08-28T16:36:15,,83
2019-08-21T11:32:45.493+03:00,2019-08-21T22:25:21.871+03:00,8/21/2019,ee.humanitarianresponse.info:vQDrSO7sNhMflnxB,8/21/2019,Jomman,OXFAM,,YE17,YE1704,shafer,Urban,yes,Cash,1,0,0,0,0,0,0,0,0,,no,,,,,,,yes,yes,,450,450,,,YE18,20,Price_inflation Supply_shortage Transportation_issues,1,0,0,0,1,0,1,0,0,0,0,,,yes,Cash,1,0,0,0,0,0,0,0,0,,yes,yes,,120,120,,,yes,yes,,200,200,,,yes,yes,,130,130,,,yes,yes,,150,150,,,yes,yes,,650,650,,,YE18,Vendor,20,Price_inflation Shortage_of_demand Transportation_issues,1,0,1,0,0,0,1,0,0,0,0,,yes,Cash,1,0,0,0,0,0,0,0,0,,6,Private,Treatment_Station,yes,2000,15,,30,yes,3000,5000,Price_inflation Shortage_of_demand,1,0,1,0,0,0,0,0,0,0,0,,yes,557,,no,,,,,,,,,,,,,,,,yes,no,yes,no,yes,no,the change in price continuously effect us,v2ZtbFxdMLUeS6K3smMjSx,vKytKhh6ddUjNzJMkxPdc8,65421286,02fac548-ed14-4b24-972e-e5ad2fb19267,2019-08-22T10:44:26,,2
2019-08-24T22:09:34.335+03:00,2019-08-24T22:13:51.924+03:00,8/24/2019,ee.humanitarianresponse.info:oYqxLGVUH29gkR0T,8/24/2019,محمد,NFDHR,,YE23,YE2307,Bani Matar Urban Market 3,Urban,yes,Cash,1,0,0,0,0,0,0,0,0,,yes,yes,,365,365,,,yes,yes,,400,400,,,YE18,3,Price_inflation Liquidity_shortage Shortage_of_demand Supply_shortage Transportation_issues,1,1,1,0,1,0,1,0,0,0,0,,,yes,Cash,1,0,0,0,0,0,0,0,0,,yes,yes,,100,100,,,yes,yes,,120,120,,,yes,yes,,100,100,,,yes,yes,,150,150,,,yes,yes,,550,550,,,YE18,Wholesaler,3,Price_inflation Liquidity_shortage Supply_shortage Transportation_issues,1,1,0,0,1,0,1,0,0,0,0,,yes,Cash,1,0,0,0,0,0,0,0,0,,5,Private,Pumping_Station_or_Borehole,no,1600,6,,8,yes,6000,8000,Price_inflation Liquidity_shortage Shortage_of_demand Supply_shortage Transportation_issues,1,1,1,0,1,0,1,0,0,0,0,,yes,580,,yes,dmg_infra_market dmg_infra_sorrounding move_restriction,1,1,0,1,0,0,,road electrical water communication,1,1,1,1,0,,no,no,no,no,no,no,,v2ZtbFxdMLUeS6K3smMjSx,vKytKhh6ddUjNzJMkxPdc8,66464184,07805f70-92a0-4662-8af4-51e5db16c92a,2019-09-02T12:30:44,,142
2019-08-29T12:36:14.475+01:00,2019-08-29T12:39:22.536+01:00,8/29/2019,ee.humanitarianresponse.info:zraf5dTKSmuXQgyi,8/29/2019,Eyad,SI,,YE15,YE1514,Atturbah,Urban,yes,Cash,1,0,0,0,0,0,0,0,0,,yes,yes,,480,480,,,yes,yes,,430,430,,,YE25,1,Price_inflation Insecurity_and_instability,1,0,0,1,0,0,0,0,0,0,0,,,no,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,yes,Cash,1,0,0,0,0,0,0,0,0,,1,Private,Treatment_Station,yes,8000,1,,1,yes,8000,9000,Insecurity_and_instability,0,0,0,1,0,0,0,0,0,0,0,,yes,595,,no,,,,,,,,,,,,,,,,yes,no,yes,yes,yes,yes,,v2ZtbFxdMLUeS6K3smMjSx,vKytKhh6ddUjNzJMkxPdc8,67068419,09010de3-bb2b-4c5c-86d2-84d40ce55618,2019-09-08T08:24:37,,159
2019-09-05T11:31:34.712+03:00,2019-09-05T11:38:08.932+03:00,9/5/2019,3.54904E+14,9/5/2019,Mansour,ADRA,,YE17,YE1704,Saddam,Rural,yes,Cash,1,0,0,0,0,0,0,0,0,,yes,yes,,365,365,,,yes,yes,,420,420,,,YE17,3,Price_inflation,1,0,0,0,0,0,0,0,0,0,0,,,no,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,no,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,yes,595,,yes,move_restriction,0,0,0,1,0,0,,,,,,,,,yes,yes,yes,yes,yes,yes,,v2ZtbFxdMLUeS6K3smMjSx,vKytKhh6ddUjNzJMkxPdc8,66779734,0986eb0d-2f47-4f24-995e-8c5c8ddfaac5,2019-09-05T08:48:09,,151
2019-08-25T11:59:12.692+03:00,2019-08-25T12:10:03.671+03:00,8/25/2019,ee.humanitarianresponse.info:e5p3EAeYckSDEcW2,8/19/2019,بشير,OCFD,,YE22,YE2203,Al Amsheekh,Rural,yes,Cash,1,0,0,0,0,0,0,0,0,,yes,yes,,400,400,,,yes,yes,,440,440,,,YE22,6,Price_inflation Liquidity_shortage Transportation_issues,1,1,0,0,0,0,1,0,0,0,0,,,yes,Cash,1,0,0,0,0,0,0,0,0,,yes,yes,,140,140,,,no,,,,,,,yes,yes,,120,120,,,yes,yes,,150,150,,,yes,yes,,650,650,,,YE22,Wholesaler,6,Price_inflation Liquidity_shortage Transportation_issues,1,1,0,0,0,0,1,0,0,0,0,,yes,Cash,1,0,0,0,0,0,0,0,0,,4,Private,Pumping_Station_or_Borehole,no,1100,10,,35,yes,3000,6000,Price_inflation Liquidity_shortage Government_regulations,1,1,0,0,0,1,0,0,0,0,0,,yes,580,,yes,dmg_infra_market dmg_infra_sorrounding move_restriction,1,1,0,1,0,0,,road electrical,1,1,0,0,0,,yes,no,yes,no,yes,no,,v2ZtbFxdMLUeS6K3smMjSx,vKytKhh6ddUjNzJMkxPdc8,65657017,09ef66ea-8af6-47c1-8ac3-2da68fe470ed,2019-08-25T09:10:12,,20
2019-08-28T10:39:32.929+03:00,2019-08-28T10:50:20.008+03:00,8/28/2019,ee.humanitarianresponse.info:ZRumN4jsQGNW1bND,8/21/2019,Khaldoon,SCI,,YE24,YE2404,Ben Nafea,Urban,no,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,yes,Cash,1,0,0,0,0,0,0,0,0,,yes,yes,,150,150,,,yes,yes,,100,100,,,yes,yes,,150,150,,,yes,no,200,150,75,,,yes,yes,,500,500,,,YE24,Do_not_know,2,No_constraints,0,0,0,0,0,0,0,0,0,1,0,,no,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,yes,590,,yes,dmg_infra_sorrounding move_restriction other,0,1,0,1,1,0,There was a conflict before Eid,electrical,0,1,0,0,0,,yes,no,yes,no,no,no,,v2ZtbFxdMLUeS6K3smMjSx,vKytKhh6ddUjNzJMkxPdc8,65974085,0ccb08bd-d9d3-4661-aa94-56f08c4e9733,2019-08-28T07:50:25,,48
2019-08-25T11:38:22.584+03:00,2019-08-25T11:42:26.671+03:00,8/25/2019,ee.humanitarianresponse.info:e5p3EAeYckSDEcW2,8/18/2019,ماجد,OCFD,,YE22,YE2204,Bader,Rural,yes,Cash,1,0,0,0,0,0,0,0,0,,yes,yes,,400,400,,,yes,yes,,440,440,,,YE22,7,Price_inflation Liquidity_shortage Transportation_issues,1,1,0,0,0,0,1,0,0,0,0,,,yes,Cash,1,0,0,0,0,0,0,0,0,,yes,yes,,140,140,,,no,,,,,,,yes,yes,,150,150,,,yes,yes,,170,170,,,yes,yes,,650,650,,,YE22,Wholesaler,5,Price_inflation Liquidity_shortage Transportation_issues,1,1,0,0,0,0,1,0,0,0,0,,yes,Cash,1,0,0,0,0,0,0,0,0,,8,Private,Pumping_Station_or_Borehole,no,900,7,,35,yes,4500,9000,Price_inflation Liquidity_shortage Transportation_issues,1,1,0,0,0,0,1,0,0,0,0,,yes,580,,yes,dmg_infra_market dmg_infra_sorrounding move_restriction,1,1,0,1,0,0,,road electrical,1,1,0,0,0,,yes,no,yes,no,yes,no,,v2ZtbFxdMLUeS6K3smMjSx,vKytKhh6ddUjNzJMkxPdc8,65655740,10d374ce-73b5-4b16-9b3e-7b8e68db1d6d,2019-08-25T08:42:35,,17
2019-08-28T11:39:49.051+03:00,2019-08-28T11:54:37.325+03:00,8/28/2019,ee.humanitarianresponse.info:ZRumN4jsQGNW1bND,8/23/2019,Khaldoon,SCI,,YE24,YE2404,Alsouq Alqadeem,Urban,no,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,no,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,yes,Cash,1,0,0,0,0,0,0,0,0,,5,Private,Pumping_Station_or_Borehole,Do_not_know,5000,2,,5,yes,6000,13000,No_constraints,0,0,0,0,0,0,0,0,0,1,0,,no,,,yes,dmg_infra_sorrounding move_restriction other,0,1,0,1,1,0,There was a conflict before Eid,electrical,0,1,0,0,0,,no,no,yes,no,yes,no,,v2ZtbFxdMLUeS6K3smMjSx,vKytKhh6ddUjNzJMkxPdc8,65979951,11889e7a-3644-49f0-9639-57b76d20e23b,2019-08-28T08:54:45,,62
2019-09-01T19:56:23.747+03:00,2019-09-01T19:58:43.570+03:00,9/1/2019,ee.humanitarianresponse.info:rskzjc4d29iBN0nk,8/27/2019,أكرم,TYF,,YE11,YE1107,Mafraq Habeish,Urban,no,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,no,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,no,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,yes,585,,no,,,,,,,,,,,,,,,,no,no,no,no,no,no,,v2ZtbFxdMLUeS6K3smMjSx,vKytKhh6ddUjNzJMkxPdc8,66392297,15519b2b-6b28-418f-b656-945c0281b7e0,2019-09-01T18:11:25,,128
