start,end,today,deviceid,date_survey,enumerator_id,select_one_organisation_name,org_name_other,governorate_ID,district_ID,market_name,type_area,fuel_prices,cash_feasibility_fuel,cash_feasibility_fuel/Cash,cash_feasibility_fuel/Mobile_money,cash_feasibility_fuel/Credit_debit_Card,cash_feasibility_fuel/Prepaid_cards,cash_feasibility_fuel/Credit,cash_feasibility_fuel/Vouchers,cash_feasibility_fuel/Bartering,cash_feasibility_fuel/Other,cash_feasibility_fuel/Do_not_know,Other_cash_feasibility_fuel,sell_petrol,quantity_1L_petrol,quantity_other_petrol,price_petrol,calc_price_petrol,price_petrol_normalised,price_petrol_display,sell_diesel,quantity_1L_diesel,quantity_other_diesel,price_diesel,calc_price_diesel,price_diesel_normalised,price_diesel_display,fuel_gov_origin,fuel_restock_days_min,fuel_constraints_multiple,fuel_constraints_multiple/Price_inflation,fuel_constraints_multiple/Liquidity_shortage,fuel_constraints_multiple/Shortage_of_demand,fuel_constraints_multiple/Insecurity_and_instability,fuel_constraints_multiple/Supply_shortage,fuel_constraints_multiple/Government_regulations,fuel_constraints_multiple/Transportation_issues,fuel_constraints_multiple/Other_see_next_question,fuel_constraints_multiple/Do_not_know,fuel_constraints_multiple/No_constraints,fuel_constraints_multiple/Vendor_did_not_answer,fuel_constraints_other,wash_list,wash_prices,cash_feasibility_wash,cash_feasibility_wash/Cash,cash_feasibility_wash/Mobile_money,cash_feasibility_wash/Credit_debit_Card,cash_feasibility_wash/Prepaid_cards,cash_feasibility_wash/Credit,cash_feasibility_wash/Vouchers,cash_feasibility_wash/Bartering,cash_feasibility_wash/Other,cash_feasibility_wash/Do_not_know,Other_cash_feasibility_wash,sell_bottled_water,quantity_0.75L,bottled_quantity_other,price_bottled_water,calc_price_bottled_water,price_bottled_water_normalised,price_bottled_water_display,sell_treated_water,quantity_10L,treated_quantity_other,price_treated_water,calc_price_treated_water,price_treated_water_normalised,price_treated_water_display,other_water_comments,sell_soap,quantity_1bar,soap_quantity_other,price_soap,calc_price_soap,price_soap_normalised,price_soap_display,sell_laundry_powder,quantity_100g,laundry_quantity_other,price_laundry_powder,calc_price_laundry,price_laundry_powder_normalised,price_laundry_powder_display,sell_sanitary_napkins,quantity_10units,napkins_quantity_other,price_sanitary_napkins,calc_price_sanitary,price_sanitary_napkins_normalised,price_sanitary_napkins_display,wash_gov_origin,wash_type_supplier,wash_restock_days_min,wash_constraints_multiple,wash_constraints_multiple/Price_inflation,wash_constraints_multiple/Liquidity_shortage,wash_constraints_multiple/Shortage_of_demand,wash_constraints_multiple/Insecurity_and_instability,wash_constraints_multiple/Supply_shortage,wash_constraints_multiple/Government_regulations,wash_constraints_multiple/Transportation_issues,wash_constraints_multiple/Other_see_next_question,wash_constraints_multiple/Do_not_know,wash_constraints_multiple/No_constraints,wash_constraints_multiple/Vendor_did_not_answer,wash_constraints_other,water_trucking_prices,cash_feasibility_water_trucking,cash_feasibility_water_trucking/Cash,cash_feasibility_water_trucking/Mobile_money,cash_feasibility_water_trucking/Credit_debit_Card,cash_feasibility_water_trucking/Prepaid_cards,cash_feasibility_water_trucking/Credit,cash_feasibility_water_trucking/Vouchers,cash_feasibility_water_trucking/Bartering,cash_feasibility_water_trucking/Other,cash_feasibility_water_trucking/Do_not_know,Other_cash_feasibility_water_trucking,capacity_truck,type_owner,type_water,water_chlorinated,water_quantity_1cub_mtr,water_quantity_other_cub_mtr,price_cubic_meter,cost_cubic_meter,location_source,price_cubic_meter_normalized,price_cubic_meter_display,distance_travelled,distance_price,additional_cost_5,additional_cost_10,constraints_multiple,constraints_multiple/Price_inflation,constraints_multiple/Liquidity_shortage,constraints_multiple/Shortage_of_demand,constraints_multiple/Insecurity_and_instability,constraints_multiple/Supply_shortage,constraints_multiple/Government_regulations,constraints_multiple/Transportation_issues,constraints_multiple/Other_see_next_question,constraints_multiple/Do_not_know,constraints_multiple/No_constraints,constraints_multiple/Vendor_did_not_answer,wash_constraints_other_001,exchange_rate,exchange_rate_result,note_exchange_rate,mrk_supply_routes,mrk_supply_issues,mrk_supply_issues/dmg_infra_market,mrk_supply_issues/dmg_infra_sorrounding,mrk_supply_issues/dmg_storage,mrk_supply_issues/move_restriction,mrk_supply_issues/other,mrk_supply_issues/did_not_answer,mrk_supply_issues_other,mrk_dmg_infra,mrk_dmg_infra/road,mrk_dmg_infra/electrical,mrk_dmg_infra/water,mrk_dmg_infra/communication,mrk_dmg_infra/other,mrk_dmg_infra_other,mrk_increse_fuel_50,mrk_increse_fuel_100,mrk_increse_WASH_50,mrk_increse_WASH_100,mrk_increse_water_50,mrk_increse_water_100,further_comments,__version__,_version_,_id,_uuid,_submission_time,_validation_status,_index
2019-09-28T22:32:01.920+03:00,2019-09-28T23:25:51.865+03:00,9/28/2019,ee.humanitarianresponse.info:7hznu1X2hAOG1WKv,9/27/2019,???,TYF,,YE15,YE1520,Mafraq Mawyah Market,Urban,no,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,yes,Cash,1,0,0,0,0,0,0,0,0,,yes,yes,,180,180,,,yes,yes,,100,100,,,,yes,yes,,200,200,,,yes,yes,,170,170,,,yes,yes,,650,650,,,YE15,Wholesaler,2,Price_inflation,1,0,0,0,0,0,0,0,0,0,0,,yes,Cash,1,0,0,0,0,0,0,0,0,,3,Private,Pumping_Station_or_Borehole,no,yes,,3000,3000,2,,,6,no,,,Price_inflation,1,0,0,0,0,0,0,0,0,0,0,,yes,604,,no,,,,,,,,,,,,,,,,no,no,yes,no,yes,no,Fuel is not available in the station,v2ZtbFxdMLUeS6K3smMjSx,vKytKhh6ddUjNzJMkxPdc8,69514330,01e0626e-b195-419d-ad19-974ce90189c5,2019-09-29T09:41:31,,72
2019-09-30T15:25:13.809+03:00,2019-09-30T15:28:13.651+03:00,9/30/2019,ee.humanitarianresponse.info:ZRumN4jsQGNW1bND,9/21/2019,Abullah,SCI,,YE17,YE1726,Alaman,Urban,no,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,no,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,no,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,yes,605,,yes,dmg_infra_sorrounding,0,1,0,0,0,0,,road electrical water communication,1,1,1,1,0,,no,no,yes,yes,yes,yes,They do not provide fuel in this market,v2ZtbFxdMLUeS6K3smMjSx,vKytKhh6ddUjNzJMkxPdc8,69639235,10b1e405-065a-4eb5-b132-98799fd766d1,2019-09-30T12:28:28,,142
2019-09-28T20:21:48.060+03:00,2019-09-29T07:25:15.861+03:00,9/28/2019,ee.humanitarianresponse.info:dLEbM7BRDPRFgQ6V,9/28/2019,?????,TYF,,YE15,YE1508,Al Bairain,Urban,no,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,yes,Cash Credit,1,0,0,0,1,0,0,0,0,,yes,yes,,170,170,,,yes,yes,,100,100,,,None,yes,yes,,150,150,,,yes,yes,,80,80,,,no,,,,,,,YE24,Wholesaler,7,Price_inflation,1,0,0,0,0,0,0,0,0,0,0,,yes,Cash,1,0,0,0,0,0,0,0,0,,7,Private,Pumping_Station_or_Borehole,no,yes,,7000,7000,3,,,4,yes,8000,12000,No_constraints,0,0,0,0,0,0,0,0,0,1,0,,no,,,yes,dmg_infra_sorrounding,0,1,0,0,0,0,,road,1,0,0,0,0,,no,no,yes,yes,no,no,,v2ZtbFxdMLUeS6K3smMjSx,vKytKhh6ddUjNzJMkxPdc8,69564600,02bc9484-7dc0-4fb7-b441-cf8469dd7fca,2019-09-29T18:53:23,,110
2019-09-28T23:47:33.991+03:00,2019-09-29T00:29:47.170+03:00,9/28/2019,ee.humanitarianresponse.info:7hznu1X2hAOG1WKv,9/27/2019,???,TYF,,YE15,YE1520,Softel Market,Urban,yes,Cash,1,0,0,0,0,0,0,0,0,,yes,yes,,365,365,,,no,,,,,,,YE23,2,Price_inflation,1,0,0,0,0,0,0,0,0,0,0,,,yes,Cash,1,0,0,0,0,0,0,0,0,,yes,yes,,150,150,,,yes,yes,,100,100,,,,yes,yes,,200,200,,,yes,yes,,170,170,,,yes,yes,,700,700,,,YE15,Wholesaler,2,Price_inflation Insecurity_and_instability,1,0,0,1,0,0,0,0,0,0,0,,yes,Cash,1,0,0,0,0,0,0,0,0,,3,Private,Pumping_Station_or_Borehole,no,yes,,3000,3000,1,,,7,no,,,Price_inflation Shortage_of_demand Insecurity_and_instability,1,0,1,1,0,0,0,0,0,0,0,,yes,604,,no,,,,,,,,,,,,,,,,no,no,yes,no,yes,no,congestion over Fuel,v2ZtbFxdMLUeS6K3smMjSx,vKytKhh6ddUjNzJMkxPdc8,69514335,030874b9-51c3-4f22-9de1-fe8f4550ba08,2019-09-29T09:41:36,,77
2019-09-30T09:24:29.210+03:00,2019-09-30T09:28:49.419+03:00,9/30/2019,ee.humanitarianresponse.info:ZRumN4jsQGNW1bND,9/22/2019,Khaldon,SCI,,YE24,YE2404,Ba Nafe,Urban,no,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,no,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,no,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,yes,603,,no,,,,,,,,,,,,,,,,no,no,yes,no,no,no,They do not provide water trucking,v2ZtbFxdMLUeS6K3smMjSx,vKytKhh6ddUjNzJMkxPdc8,69589301,04736b0a-79cb-407e-9354-668ca1e0f1cc,2019-09-30T06:28:54,,128
2019-09-27T20:40:29.848+03:00,2019-09-27T21:57:15.204+03:00,9/27/2019,ee.humanitarianresponse.info:GWFHmnabUuGi90K4,9/26/2019,Mmohammed,NRC,,YE17,YE1715,Al Madinah,Rural,yes,Cash,1,0,0,0,0,0,0,0,0,,yes,yes,,600,600,,,yes,yes,,600,600,,,YE18,9,Price_inflation Liquidity_shortage Insecurity_and_instability Supply_shortage Transportation_issues,1,1,0,1,1,0,1,0,0,0,0,,,yes,Cash,1,0,0,0,0,0,0,0,0,,yes,yes,,100,100,,,yes,yes,,150,150,,,non,yes,yes,,150,150,,,yes,no,500,500,100,,,yes,yes,,500,500,,,YE17,Vendor,4,Price_inflation Insecurity_and_instability Transportation_issues,1,0,0,1,0,0,1,0,0,0,0,,yes,Cash,1,0,0,0,0,0,0,0,0,,6,Private,Pumping_Station_or_Borehole,no,yes,,5000,5000,25,,,25,no,,,Price_inflation Liquidity_shortage Insecurity_and_instability Transportation_issues,1,1,0,1,0,0,1,0,0,0,0,,yes,600,,no,,,,,,,,,,,,,,,,yes,yes,yes,yes,yes,yes,these days the Petrol & Diesel are not exist in markets except black market,v2ZtbFxdMLUeS6K3smMjSx,vKytKhh6ddUjNzJMkxPdc8,69506248,05a8928f-9e7d-4c6b-b180-5599aff16161,2019-09-29T07:17:11,,42
2019-09-28T23:27:57.829+03:00,2019-09-28T23:31:44.953+03:00,9/28/2019,3.55E+14,9/24/2019,Adel,ADRA,,YE17,YE1726,Al-Amman Market,Rural,no,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,yes,Cash,1,0,0,0,0,0,0,0,0,,yes,yes,,150,150,,,yes,yes,,250,250,,,,yes,yes,,150,150,,,yes,yes,,150,150,,,yes,yes,,550,550,,,YE18,Wholesaler,1,Transportation_issues Price_inflation,1,0,0,0,0,0,1,0,0,0,0,,no,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,yes,595,,no,,,,,,,,,,,,,,,,no,no,yes,yes,no,no,,v2ZtbFxdMLUeS6K3smMjSx,vKytKhh6ddUjNzJMkxPdc8,69490416,18e0b84c-1f3d-4965-9093-8c079c0f06dd,2019-09-28T20:32:09,,39
2019-10-01T08:52:08.265+03:00,2019-10-01T09:40:37.273+03:00,10/1/2019,ee.humanitarianresponse.info:N4cuYdODxCQXdjjN,43732,Abdallah,SCI,,YE13,YE1307,Al Tahrir,Urban,yes,Cash,1,0,0,0,0,0,0,0,0,,yes,yes,,365,365,,,no,,,,,,,YE18,4,Price_inflation Supply_shortage Transportation_issues,1,0,0,0,1,0,1,0,0,0,0,,,no,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,no,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,yes,601,,yes,move_restriction,0,0,0,1,0,0,,,,,,,,,no,no,yes,yes,yes,yes,,v2ZtbFxdMLUeS6K3smMjSx,vKytKhh6ddUjNzJMkxPdc8,69724267,0857be11-1756-4da1-b45a-450e74570c40,2019-10-01T06:40:44,,154
2019-09-28T21:41:07.927+03:00,2019-09-28T21:51:07.823+03:00,9/28/2019,ee.humanitarianresponse.info:7hznu1X2hAOG1WKv,9/26/2019,???,TYF,,YE15,YE1512,Dimnat Khadier Market,Urban,no,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,yes,Cash,1,0,0,0,0,0,0,0,0,,yes,yes,,100,100,,,yes,yes,,100,100,,,,yes,yes,,180,180,,,yes,yes,,170,170,,,yes,yes,,700,700,,,YE15,Wholesaler,2,Price_inflation,1,0,0,0,0,0,0,0,0,0,0,,yes,Cash,1,0,0,0,0,0,0,0,0,,6,Private,Pumping_Station_or_Borehole,no,yes,,3000,3000,2,,,7,no,,,Price_inflation Shortage_of_demand Insecurity_and_instability,1,0,1,1,0,0,0,0,0,0,0,,yes,604,,no,,,,,,,,,,,,,,,,no,no,yes,no,yes,no,Petrol and diesel are not available in the station. Heavy congestion ,v2ZtbFxdMLUeS6K3smMjSx,vKytKhh6ddUjNzJMkxPdc8,69514318,09bbc6e3-d5e7-43a0-9732-fa2ca07ba95c,2019-09-29T09:41:26,,67
2019-09-28T23:22:43.534+03:00,2019-09-28T23:31:39.054+03:00,9/28/2019,3.55E+14,9/23/2019,Adel,ADRA,,YE17,YE1718,Shaffar Market,Rural,no,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,yes,Cash,1,0,0,0,0,0,0,0,0,,yes,yes,,120,120,,,yes,yes,,200,200,,,,yes,yes,,130,130,,,yes,yes,,100,100,,,yes,yes,,550,550,,,YE18,Wholesaler,1,Transportation_issues,0,0,0,0,0,0,1,0,0,0,0,,no,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,yes,590,,no,,,,,,,,,,,,,,,,no,no,yes,yes,no,no,,v2ZtbFxdMLUeS6K3smMjSx,vKytKhh6ddUjNzJMkxPdc8,69490415,0a30fcc8-2313-4a90-bf9d-00af1448e564,2019-09-28T20:32:08,,38
