start,end,today,deviceid,date_survey,enumerator_id,select_one_organisation_name,org_name_other,governorate_ID,governorate_name,district_ID,district_name,type_area,fuel_prices,market_name_fuel,type_market,cash_feasibility_fuel,cash_feasibility_fuel/Cash,cash_feasibility_fuel/Mobile_money,cash_feasibility_fuel/Credit_debit_Card,cash_feasibility_fuel/Prepaid_cards,cash_feasibility_fuel/Credit,cash_feasibility_fuel/Vouchers,cash_feasibility_fuel/Bartering,cash_feasibility_fuel/Other,cash_feasibility_fuel/Do_not_know,Other_cash_feasibility_fuel,sell_petrol,quantity_1L_petrol,quantity_other_petrol,price_petrol,calc_price_petrol,price_petrol_normalised,sell_diesel,quantity_1L_diesel,diesel_quantity_other,price_diesel,calc_price_diesel,price_diesel_normalised,fuel_gov_origin,fuel_restock_days_min,fuel_constraints_multiple,fuel_constraints_multiple/Price_inflation,fuel_constraints_multiple/Liquidity_shortage,fuel_constraints_multiple/Shortage_of_demand,fuel_constraints_multiple/Insecurity_and_instability,fuel_constraints_multiple/Supply_shortage,fuel_constraints_multiple/Government_regulations,fuel_constraints_multiple/Transportation_issues,fuel_constraints_multiple/Other_see_next_question,fuel_constraints_multiple/Do_not_know,fuel_constraints_multiple/No_constraints,fuel_constraints_multiple/Vendor_did_not_answer,wash_list,wash_prices,market_name_wash,type_market_001,cash_feasibility_wash,cash_feasibility_wash/Cash,cash_feasibility_wash/Mobile_money,cash_feasibility_wash/Credit_debit_Card,cash_feasibility_wash/Prepaid_cards,cash_feasibility_wash/Credit,cash_feasibility_wash/Vouchers,cash_feasibility_wash/Bartering,cash_feasibility_wash/Other,cash_feasibility_wash/Do_not_know,Other_cash_feasibility_wash,sell_bottled_water,quantity_0.75L,bottled_quantity_other,price_bottled_water,calc_price_bottled_water,price_bottled_water_normalised,sell_treated_water,quantity_10L,treated_quantity_other,price_treated_water,calc_price_treated_water,price_treated_water_normalised,sell_soap,quantity_1bar,soap_quantity_specify,price_soap,calc_price_soap,price_soap_normalised,sell_laundry_powder,quantity_100g,laundry_quantity_other,price_laundry_powder,calc_price_laundry,price_laundry_powder_normalised,sell_sanitary_napkins,quantity_10units,napkins_quantity_other,price_sanitary_napkins,calc_price_sanitary,price_sanitary_napkins_normalised,wash_gov_origin,wash_type_supplier,wash_restock_days_min,wash_constraints_multiple,wash_constraints_multiple/Price_inflation,wash_constraints_multiple/Liquidity_shortage,wash_constraints_multiple/Shortage_of_demand,wash_constraints_multiple/Insecurity_and_instability,wash_constraints_multiple/Supply_shortage,wash_constraints_multiple/Government_regulations,wash_constraints_multiple/Transportation_issues,wash_constraints_multiple/Other_see_next_question,wash_constraints_multiple/Do_not_know,wash_constraints_multiple/No_constraints,wash_constraints_multiple/Vendor_did_not_answer,water_trucking_prices,market_name_water_trucking,cash_feasibility_water_trucking,cash_feasibility_water_trucking/Cash,cash_feasibility_water_trucking/Mobile_money,cash_feasibility_water_trucking/Credit_debit_Card,cash_feasibility_water_trucking/Prepaid_cards,cash_feasibility_water_trucking/Credit,cash_feasibility_water_trucking/Vouchers,cash_feasibility_water_trucking/Bartering,cash_feasibility_water_trucking/Other,cash_feasibility_water_trucking/Do_not_know,Other_cash_feasibility_water_trucking,capacity_truck,type_owner,type_water,water_chlorinated,cost_cubic_meter,location_source,price_cubic_meter,distance_travelled,distance_price,additional_cost_5,additional_cost_10,constraints_multiple,constraints_multiple/Price_inflation,constraints_multiple/Liquidity_shortage,constraints_multiple/Shortage_of_demand,constraints_multiple/Insecurity_and_instability,constraints_multiple/Supply_shortage,constraints_multiple/Government_regulations,constraints_multiple/Transportation_issues,constraints_multiple/Other_see_next_question,constraints_multiple/Do_not_know,constraints_multiple/No_constraints,constraints_multiple/Vendor_did_not_answer,exchange_rate,market_name_exchange_rate,exchange_rate_result,note_exchange_rate,further_comments,_id,_uuid,_submission_time,_index
29/10/2018 13:20,29/10/2018 13:27,29/10/2018,3.56E+13,29/10/2018,???,ACTED,NA,YE30,Al Dhale'e,YE3006,Ad Dhale'e,Rural,yes,Al Matar,District_level_market,Cash,1,0,0,0,0,0,0,0,0,NA,yes,yes,NA,525,NA,NA,yes,yes,NA,525,NA,NA,YE24,15,Price_inflation Supply_shortage,1,0,0,0,1,0,0,0,0,0,0,NA,yes,Al Matar,District_level_market,Cash,1,0,0,0,0,0,0,0,0,NA,yes,yes,NA,150,NA,NA,yes,no,5,300,600,NA,yes,yes,100,350,NA,NA,yes,no,2500,3000,120,NA,yes,yes,NA,700,NA,NA,YE30,Wholesaler,1,Price_inflation,1,0,0,0,0,0,0,0,0,0,0,yes,Al Matar,Cash,1,0,0,0,0,0,0,0,0,NA,6,Private,Pumping_Station_or_Borehole,no,3500,35,NA,50,no,NA,NA,Price_inflation Supply_shortage Transportation_issues,1,0,0,0,1,0,1,0,0,0,0,yes,Central,740,NA,NA,39376813,9fb7c85d-78e5-46f3-8028-6f6e1d9db310,29/10/2018 13:27,340
23/10/2018 19:38,23/10/2018 19:49,23/10/2018,ee.humanitarianresponse.info:mc9M3e4msKhygWGG,21/10/2018,Wajdi,ACTED,NA,YE11,Ibb,YE1119,Al Dhihar,Urban,yes,Al-Da'eri,District_level_market,Cash,1,0,0,0,0,0,0,0,0,NA,yes,yes,NA,575,NA,NA,yes,yes,NA,580,NA,NA,YE18,7,Price_inflation Shortage_of_demand Government_regulations,1,0,1,0,0,1,0,0,0,0,0,NA,yes,Al-Da'eri,District_level_market,Cash Credit,1,0,0,0,1,0,0,0,0,NA,yes,yes,NA,170,NA,NA,yes,no,5,100,200,NA,yes,yes,80,150,NA,NA,yes,no,110,120,109.0909091,NA,yes,yes,NA,400,NA,NA,YE11,Wholesaler,8,Price_inflation Shortage_of_demand,1,0,1,0,0,0,0,0,0,0,0,yes,Al-Malika Arwa street,Cash Mobile_money Credit,1,1,0,0,1,0,0,0,0,NA,6,Private,Pumping_Station_or_Borehole,no,2000,1,NA,10,yes,12000,15000,Price_inflation Shortage_of_demand Other_see_next_question,1,0,1,0,0,0,0,1,0,0,0,yes,Al-Da'eri,740,NA,The other constraints faced by the water trucking vendor is high fuel prices,38388278,751b12d1-6055-4122-90f3-b7d98036e64c,23/10/2018 19:55,6
24/10/2018 17:57,24/10/2018 18:10,24/10/2018,ee.humanitarianresponse.info:mc9M3e4msKhygWGG,23/10/2018,Wajdi,ACTED,NA,YE11,Ibb,YE1116,Dhi As Sufal,Urban,yes,Al-Da'eri,District_level_market,Cash,1,0,0,0,0,0,0,0,0,NA,no,NA,NA,NA,NA,NA,yes,yes,NA,580,NA,NA,YE18,5,Price_inflation Shortage_of_demand Transportation_issues,1,0,1,0,0,0,1,0,0,0,0,NA,yes,Al-Thalatheen,District_level_market,Cash Credit,1,0,0,0,1,0,0,0,0,NA,yes,yes,NA,150,NA,NA,yes,no,5,100,200,NA,yes,yes,80,180,NA,NA,yes,no,110,120,109.0909091,NA,yes,yes,NA,400,NA,NA,YE11,Wholesaler,8,Price_inflation Shortage_of_demand Insecurity_and_instability,1,0,1,1,0,0,0,0,0,0,0,yes,Al-Da'eri,Cash Credit,1,0,0,0,1,0,0,0,0,NA,6,Private,Pumping_Station_or_Borehole,no,2000,2,NA,15,yes,12000,15000,Price_inflation Shortage_of_demand Transportation_issues,1,0,1,0,0,0,1,0,0,0,0,yes,Al-Shara'a Al-Am,740,NA,The vendor told us that he is waiting the arrival of the petrol truck from Hodeidah two days ago and it will arrive today.,38568547,71ec0790-0fd8-4f1c-beb4-7fe8ef3e4202,24/10/2018 18:32,26
24/10/2018 17:13,24/10/2018 17:23,24/10/2018,ee.humanitarianresponse.info:mc9M3e4msKhygWGG,22/10/2018,wajdi,ACTED,NA,YE11,Ibb,YE1102,Yarim,Urban,yes,Al-Da'eri Algharbi,District_level_market,Cash,1,0,0,0,0,0,0,0,0,NA,yes,yes,NA,575,NA,NA,yes,yes,NA,580,NA,NA,YE18,3,Price_inflation Shortage_of_demand Transportation_issues,1,0,1,0,0,0,1,0,0,0,0,NA,yes,Al-Da'eri,District_level_market,Cash Credit,1,0,0,0,1,0,0,0,0,NA,yes,yes,NA,120,NA,NA,yes,no,5,100,200,NA,yes,yes,80,130,NA,NA,yes,no,110,120,109.0909091,NA,yes,yes,NA,600,NA,NA,YE11,Wholesaler,14,Price_inflation Shortage_of_demand,1,0,1,0,0,0,0,0,0,0,0,yes,Taratem,Cash Credit,1,0,0,0,1,0,0,0,0,NA,4,Private,Pumping_Station_or_Borehole,no,2000,2,NA,10,yes,5000,7000,Price_inflation Shortage_of_demand Insecurity_and_instability,1,0,1,1,0,0,0,0,0,0,0,yes,Gawlat Senan,740,NA,NA,38560578,0ef967b1-e50d-4a94-afd2-90825c6f8d20,24/10/2018 17:24,21
27/10/2018 18:29,28/10/2018 15:00,27/10/2018,ee.humanitarianresponse.info:jRxPxgkQcMtipFcb,27/10/2018,Saleh,ACTED,NA,YE16,Al Jawf,YE1610,Bart Al Anan,Rural,yes,Al-Haj,District_level_market,Cash,1,0,0,0,0,0,0,0,0,NA,yes,yes,NA,500,NA,NA,yes,yes,NA,700,NA,NA,YE23,7,Price_inflation Insecurity_and_instability Government_regulations Transportation_issues,1,0,0,1,0,1,1,0,0,0,0,NA,yes,Al-Haj,District_level_market,Cash,1,0,0,0,0,0,0,0,0,NA,yes,yes,NA,170,NA,NA,yes,no,3,350,1166.666667,NA,yes,yes,80,260,NA,NA,yes,yes,NA,170,NA,NA,no,NA,NA,NA,NA,NA,YE22,Vendor,6,Price_inflation Supply_shortage Transportation_issues,1,0,0,0,1,0,1,0,0,0,0,yes,Al-Haj,Cash,1,0,0,0,0,0,0,0,0,NA,4,Private,Pumping_Station_or_Borehole,no,1700,7,NA,20,yes,8000,15000,Price_inflation Shortage_of_demand Transportation_issues,1,0,1,0,0,0,1,0,0,0,0,yes,Aqlan,750,NA,NA,39371357,dd0d5a22-62c1-4082-8ed7-844920355ecf,29/10/2018 12:53,336
24/10/2018 17:48,24/10/2018 17:57,24/10/2018,ee.humanitarianresponse.info:mc9M3e4msKhygWGG,22/10/2018,Wajdi,ACTED,NA,YE11,Ibb,YE1102,Yarim,Urban,yes,Al-khashabah,District_level_market,Cash,1,0,0,0,0,0,0,0,0,NA,yes,yes,NA,575,NA,NA,yes,yes,NA,580,NA,NA,YE18,7,Price_inflation Liquidity_shortage Shortage_of_demand Transportation_issues,1,1,1,0,0,0,1,0,0,0,0,NA,yes,Al-Khashabah,District_level_market,Cash Credit,1,0,0,0,1,0,0,0,0,NA,yes,yes,NA,120,NA,NA,yes,no,5,100,200,NA,yes,yes,80,170,NA,NA,yes,no,110,120,109.0909091,NA,yes,yes,NA,400,NA,NA,YE11,Wholesaler,6,Price_inflation Liquidity_shortage Shortage_of_demand,1,1,1,0,0,0,0,0,0,0,0,yes,Al-Khashabah,Cash Credit,1,0,0,0,1,0,0,0,0,NA,2.5,Private,Pumping_Station_or_Borehole,Do_not_know,2000,1,NA,10,yes,5000,7000,Price_inflation Shortage_of_demand Transportation_issues,1,0,1,0,0,0,1,0,0,0,0,yes,Al-Khashabah,735,NA,NA,38564186,166374ec-c077-4d2f-add5-e772662cad1a,24/10/2018 17:57,25
23/10/2018 19:27,23/10/2018 19:38,23/10/2018,ee.humanitarianresponse.info:mc9M3e4msKhygWGG,21/10/2018,Wajdi,ACTED,NA,YE11,Ibb,YE1119,Al Dhihar,Urban,yes,Al-Ma'ayeen,District_level_market,Cash,1,0,0,0,0,0,0,0,0,NA,yes,yes,NA,575,NA,NA,yes,yes,NA,580,NA,NA,YE18,10,Price_inflation Shortage_of_demand Transportation_issues,1,0,1,0,0,0,1,0,0,0,0,NA,yes,Al-Odain street,District_level_market,Cash Credit,1,0,0,0,1,0,0,0,0,NA,yes,yes,NA,150,NA,NA,yes,no,5,100,200,NA,yes,yes,80,130,NA,NA,yes,no,110,100,90.90909091,NA,yes,yes,NA,450,NA,NA,YE11,Wholesaler,12,Price_inflation Shortage_of_demand,1,0,1,0,0,0,0,0,0,0,0,yes,Al-Sa'elah,Cash Credit,1,0,0,0,1,0,0,0,0,NA,6,Private,Pumping_Station_or_Borehole,no,2300,2,NA,5,yes,10000,NA,Price_inflation Shortage_of_demand Transportation_issues Other_see_next_question,1,0,1,0,0,0,1,1,0,0,0,yes,Al-Odain Street,740,NA,Fuel are Governmental Not Commercial,38388227,d55da5b1-97f1-4550-96e9-b5fc50ff01a6,23/10/2018 19:54,5
27/10/2018 12:41,28/10/2018 14:52,27/10/2018,ee.humanitarianresponse.info:jRxPxgkQcMtipFcb,27/10/2018,Saleh,ACTED,NA,YE22,Sa'ada,YE2211,Sahar,Rural,yes,Al-Mutea,Other,Cash,1,0,0,0,0,0,0,0,0,NA,yes,yes,NA,750,NA,NA,yes,yes,NA,600,NA,NA,YE18,5,Price_inflation Liquidity_shortage Supply_shortage,1,1,0,0,1,0,0,0,0,0,0,NA,yes,Al-Mutea,Other,Cash,1,0,0,0,0,0,0,0,0,NA,yes,yes,NA,150,NA,NA,yes,no,2,300,1500,NA,yes,yes,80,260,NA,NA,yes,yes,NA,150,NA,NA,yes,no,24,590,245.8333333,NA,YE23,Vendor,4,Price_inflation Liquidity_shortage Supply_shortage,1,1,0,0,1,0,0,0,0,0,0,yes,Al- Mutea,Cash,1,0,0,0,0,0,0,0,0,NA,5,Private,Pumping_Station_or_Borehole,no,1900,4,NA,7,yes,9500,15600,Price_inflation Liquidity_shortage Transportation_issues,1,1,0,0,0,0,1,0,0,0,0,yes,Al-Sadeq,740,NA,NA,39371333,8eb352d7-d612-4b7b-846b-3572fcc18afc,29/10/2018 12:53,328
27/10/2018 18:21,28/10/2018 14:59,27/10/2018,ee.humanitarianresponse.info:jRxPxgkQcMtipFcb,27/10/2018,Saleh,ACTED,NA,YE16,Al Jawf,YE1610,Bart Al Anan,Rural,yes,Al-Qamra,District_level_market,Cash,1,0,0,0,0,0,0,0,0,NA,yes,yes,NA,750,NA,NA,yes,yes,NA,650,NA,NA,YE22,NA,Price_inflation Supply_shortage Government_regulations,1,0,0,0,1,1,0,0,0,0,0,NA,yes,Al-Qamra,District_level_market,Cash,1,0,0,0,0,0,0,0,0,NA,yes,yes,NA,170,NA,NA,yes,no,3,350,1166.666667,NA,yes,yes,80,270,NA,NA,yes,yes,NA,160,NA,NA,yes,no,24,700,291.6666667,NA,YE23,Wholesaler,6,Price_inflation Liquidity_shortage Supply_shortage,1,1,0,0,1,0,0,0,0,0,0,yes,Al-Qamra,Cash,1,0,0,0,0,0,0,0,0,NA,5,Private,Pumping_Station_or_Borehole,yes,2200,6,NA,21,yes,10000,19000,Price_inflation,1,0,0,0,0,0,0,0,0,0,0,yes,Al-Hashedi,740,NA,NA,39371349,1df0ad87-5ecd-41da-9b9f-f8efc2bd41c7,29/10/2018 12:53,334
27/10/2018 18:19,28/10/2018 14:58,27/10/2018,ee.humanitarianresponse.info:jRxPxgkQcMtipFcb,27/10/2018,Saleh,ACTED,NA,YE22,Sa'ada,YE2215,Sa'adah,Urban,yes,Al-Qurashi,Governorate_capital_market,Cash,1,0,0,0,0,0,0,0,0,NA,yes,yes,NA,800,NA,NA,yes,yes,NA,750,NA,NA,YE26,6,Price_inflation Supply_shortage Transportation_issues,1,0,0,0,1,0,1,0,0,0,0,NA,yes,Al-Markazi,Governorate_capital_market,Cash,1,0,0,0,0,0,0,0,0,NA,yes,yes,NA,150,NA,NA,yes,no,5,170,340,NA,yes,yes,70,230,NA,NA,yes,yes,NA,160,NA,NA,no,NA,NA,NA,NA,NA,YE18,Vendor,7,Price_inflation Liquidity_shortage Supply_shortage,1,1,0,0,1,0,0,0,0,0,0,yes,Hulais,Cash,1,0,0,0,0,0,0,0,0,NA,5,Private,Pumping_Station_or_Borehole,no,1800,2,NA,7,yes,8000,15500,Price_inflation Liquidity_shortage Shortage_of_demand,1,1,1,0,0,0,0,0,0,0,0,yes,Al-Sarim,730,NA,NA,39371347,fdc35036-d630-4546-aeb1-eec4a3034e07,29/10/2018 12:53,333
