X.U.FEFF.X.U.FEFF.start_,end_,today_,deviceid_,date_survey_All,enumerator_id_All,select_one_organization_name_All,org_name_other_All,governorate_ID_All,district_ID_All,market_name_All,type_area_All,password_incorrect_,password_incorrect,password_incorrect_001,foodcare_info,nficare_info,fuel_prices_All,cash_feasibility_fuel_All,cash_feasibility_fuel_All.Cash,cash_feasibility_fuel_All.Mobile_money,cash_feasibility_fuel_All.Credit_debit_Card,cash_feasibility_fuel_All.Prepaid_cards,cash_feasibility_fuel_All.Credit,cash_feasibility_fuel_All.Vouchers,cash_feasibility_fuel_All.Bartering,cash_feasibility_fuel_All.Other,cash_feasibility_fuel_All.Do_not_know,Other_cash_feasibility_fuel_All,sell_petrol_All,quantity_1L_petrol_All,quantity_other_petrol_All,price_petrol_All,calc_price_petrol_All,price_petrol_normalised_All,price_petrol_display_All,sell_diesel_All,quantity_1L_diesel_All,quantity_other_diesel_All,price_diesel_All,calc_price_diesel_All,price_diesel_normalised_All,price_diesel_display_All,fuel_gov_origin_All,fuel_restock_days_min_All,fuel_constraints_multiple_All,fuel_constraints_multiple_All.Price_inflation,fuel_constraints_multiple_All.Liquidity_shortage,fuel_constraints_multiple_All.Shortage_of_demand,fuel_constraints_multiple_All.Insecurity_and_instability,fuel_constraints_multiple_All.Supply_shortage,fuel_constraints_multiple_All.Government_regulations,fuel_constraints_multiple_All.Transportation_issues,fuel_constraints_multiple_All.Other_see_next_question,fuel_constraints_multiple_All.Do_not_know,fuel_constraints_multiple_All.No_constraints,fuel_constraints_multiple_All.Vendor_did_not_answer,fuel_constraints_other_All,password_incorrect_002,password_incorrect_003,wash_list_All,wash_prices_All,cash_feasibility_wash_All,cash_feasibility_wash_All.Cash,cash_feasibility_wash_All.Mobile_money,cash_feasibility_wash_All.Credit_debit_Card,cash_feasibility_wash_All.Prepaid_cards,cash_feasibility_wash_All.Credit,cash_feasibility_wash_All.Vouchers,cash_feasibility_wash_All.Bartering,cash_feasibility_wash_All.Other,cash_feasibility_wash_All.Do_not_know,Other_cash_feasibility_wash_All,sell_bottled_water_All,quantity_0.75L_All,bottled_quantity_other_All,price_bottled_water_All,calc_price_bottled_water_All,price_bottled_water_normalised_All,price_bottled_water_display_All,sell_treated_water_All,quantity_10L_All,treated_quantity_other_All,price_treated_water_All,calc_price_treated_water_All,price_treated_water_normalised_All,price_treated_water_display_All,other_water_comments_All,sell_soap_All,quantity_1bar_All,soap_quantity_other_All,price_soap_All,calc_price_soap_All,price_soap_normalised_All,price_soap_display_All,sell_laundry_powder_All,quantity_100g_All,laundry_quantity_other_All,price_laundry_powder_All,calc_price_laundry_All,price_laundry_powder_normalised_All,price_laundry_powder_display_All,sell_sanitary_napkins_All,quantity_10units_All,napkins_quantity_other_All,price_sanitary_napkins_All,calc_price_sanitary_All,price_sanitary_napkins_normalised_All,price_sanitary_napkins_display_All,wash_gov_origin_All,wash_type_supplier_All,wash_restock_days_min_All,wash_constraints_multiple_All,wash_constraints_multiple_All.Price_inflation,wash_constraints_multiple_All.Liquidity_shortage,wash_constraints_multiple_All.Shortage_of_demand,wash_constraints_multiple_All.Insecurity_and_instability,wash_constraints_multiple_All.Supply_shortage,wash_constraints_multiple_All.Government_regulations,wash_constraints_multiple_All.Transportation_issues,wash_constraints_multiple_All.Other_see_next_question,wash_constraints_multiple_All.Do_not_know,wash_constraints_multiple_All.No_constraints,wash_constraints_multiple_All.Vendor_did_not_answer,wash_constraints_other_All,water_trucking_prices_All,cash_feasibility_water_trucking_All,cash_feasibility_water_trucking_All.Cash,cash_feasibility_water_trucking_All.Mobile_money,cash_feasibility_water_trucking_All.Credit_debit_Card,cash_feasibility_water_trucking_All.Prepaid_cards,cash_feasibility_water_trucking_All.Credit,cash_feasibility_water_trucking_All.Vouchers,cash_feasibility_water_trucking_All.Bartering,cash_feasibility_water_trucking_All.Other,cash_feasibility_water_trucking_All.Do_not_know,Other_cash_feasibility_water_trucking_All,capacity_truck_All,type_owner_All,type_water_All,water_chlorinated_All,water_quantity_1cub_mtr_All,water_quantity_other_cub_mtr_All,price_cubic_meter_All,cost_cubic_meter_All,location_source_All,price_cubic_meter_normalized_All,price_cubic_meter_display_All,distance_travelled_All,distance_price_All,additional_cost_5_All,additional_cost_10_All,constraints_multiple_All,constraints_multiple_All.Price_inflation,constraints_multiple_All.Liquidity_shortage,constraints_multiple_All.Shortage_of_demand,constraints_multiple_All.Insecurity_and_instability,constraints_multiple_All.Supply_shortage,constraints_multiple_All.Government_regulations,constraints_multiple_All.Transportation_issues,constraints_multiple_All.Other_see_next_question,constraints_multiple_All.Do_not_know,constraints_multiple_All.No_constraints,constraints_multiple_All.Vendor_did_not_answer,wash_constraints_other_001_All,exchange_rate_All,exchange_rate_result_All,note_exchange_rate_All,market_info_q_All,mrk_supply_routes_All,mrk_supply_issues_All,mrk_supply_issues_All.dmg_infra_market,mrk_supply_issues_All.dmg_infra_sorrounding,mrk_supply_issues_All.dmg_storage,mrk_supply_issues_All.move_restriction,mrk_supply_issues_All.other,mrk_supply_issues_All.did_not_answer,mrk_supply_issues_other_All,mrk_dmg_infra_All,mrk_dmg_infra_All.road,mrk_dmg_infra_All.electrical,mrk_dmg_infra_All.water,mrk_dmg_infra_All.communication,mrk_dmg_infra_All.other,mrk_dmg_infra_other_All,mrk_increse_fuel_50_All,mrk_increse_fuel_100_All,mrk_increse_WASH_50_All,mrk_increse_WASH_100_All,mrk_increse_water_50_All,mrk_increse_water_100_All,further_comments_All,X__version___All,X_version__All,X_id,X_uuid,X_submission_time,X_validation_status,X_index,X,X.1
2019-10-28T15:30:30.475+03:00,2019-10-28T15:51:04.891+03:00,2019-10-28,ee.humanitarianresponse.info:ZRumN4jsQGNW1bND,2019-10-23,Khaldon,SCI,,YE24,YE2408,Alareesh,Urban,,,,,,no,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,yes,Cash,1,0,0,0,0,0,0,0,0,,yes,yes,,150,150,,,yes,yes,,70,70,,,,yes,yes,,150,150,,,yes,no,200,150,75,,,yes,yes,,500,500,,,YE24,Do_not_know,2,,,,,,,,,,,,,,yes,Cash Credit,1,0,0,0,1,0,0,0,0,,5,Public,Other,no,yes,,5000,5000,1,,,15,yes,25000,28000,No_constraints,0,0,0,0,0,0,0,0,0,1,0,,yes,590,,,,,,,,,,,,,,,,,,,,,,,,,The source of the water is the govermantal water project,v2ZtbFxdMLUeS6K3smMjSx,vKytKhh6ddUjNzJMkxPdc8,72583450,0c72c671-76e4-4fbb-bb2c-a849ae0d7af9,2019-10-29T05:04:12,,117,,
2019-10-30T09:20:58.419+03:00,2019-10-30T09:27:12.987+03:00,2019-10-30,ee.humanitarianresponse.info:pk2dojv5mlg2weOP,2019-10-22,Khaldon,SCI,,YE24,YE2408,Althaqafa,Urban,,,,,,yes,Cash,1,0,0,0,0,0,0,0,0,,yes,yes,,350,350,,,no,,,,,,,YE24,2,No_constraints,0,0,0,0,0,0,0,0,0,1,0,,,,,no,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,yes,Cash Credit,1,0,0,0,1,0,0,0,0,,5,Public,Other,no,yes,,5000,5000,1,,,15,yes,25000,28000,No_constraints,0,0,0,0,0,0,0,0,0,1,0,,yes,590,,yes,no,,,,,,,,,,,,,,,,,,,,yes,no,,v2ZtbFxdMLUeS6K3smMjSx,vKytKhh6ddUjNzJMkxPdc8,72733746,85febebc-ee23-439e-8c18-1e05d01cb2ef,2019-10-30T06:34:16,,128,,
2019-10-30T10:32:41.086+03:00,2019-10-30T10:41:34.448+03:00,2019-10-30,ee.humanitarianresponse.info:pk2dojv5mlg2weOP,2019-10-21,Khaldon,SCI,,YE24,YE2402,Masjed Alnoor,Urban,,,,,,no,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,no,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,yes,Cash Credit,1,0,0,0,1,0,0,0,0,,5,Private,Pumping_Station_or_Borehole,Do_not_know,yes,,5000,5000,2,,,12,yes,7000,12000,Shortage_of_demand,0,0,1,0,0,0,0,0,0,0,0,,yes,595,,yes,no,,,,,,,,,,,,,,,,,,,,yes,no,,v2ZtbFxdMLUeS6K3smMjSx,vKytKhh6ddUjNzJMkxPdc8,72739260,7dbbda80-2c4a-4a6c-a521-4363a2eb786f,2019-10-30T07:34:36,,135,,
2019-10-27T18:10:55.189+03:00,2019-10-27T20:32:54.709+03:00,2019-10-27,ee.humanitarianresponse.info:uXp6YqLfAfikQWLH,2019-10-27,Tawfig,OXFAM,,YE17,YE1712,Aslam Market,Urban,,,,,,yes,Cash,1,0,0,0,0,0,0,0,0,,yes,yes,,450,450,,,yes,yes,,550,550,,,YE17,15,Price_inflation,1,0,0,0,0,0,0,0,0,0,0,,,,,yes,Cash,1,0,0,0,0,0,0,0,0,,yes,yes,,180,180,,,yes,yes,,200,200,,,,yes,yes,,180,180,,,yes,yes,,180,180,,,yes,yes,,500,500,,,YE17,Wholesaler,7,,,,,,,,,,,,,,yes,Cash Credit,1,0,0,0,1,0,0,0,0,,12,Private,Pumping_Station_or_Borehole,yes,yes,,1200,1200,1,,,5,yes,14000,15000,Other_see_next_question,0,0,0,0,0,0,0,1,0,0,0,the ups and downs of fuel price,yes,583,,yes,yes,dmg_infra_sorrounding move_restriction,0,1,0,1,0,0,,road electrical water,1,1,1,0,0,,,,,,yes,no,,v2ZtbFxdMLUeS6K3smMjSx,vKytKhh6ddUjNzJMkxPdc8,72781955,9fd865c4-05ec-4ab5-973a-1ef3628e858a,2019-10-30T12:52:30,,154,,
2019-10-30T15:13:10.164+03:00,2019-10-30T15:18:00.921+03:00,2019-10-30,ee.humanitarianresponse.info:pk2dojv5mlg2weOP,2019-10-25,Abdullah,SCI,,YE13,YE1305,Bait Baws,Urban,,,,,,yes,Cash,1,0,0,0,0,0,0,0,0,,yes,yes,,365,365,,,no,,,,,,,YE18,2,Price_inflation Supply_shortage Transportation_issues,1,0,0,0,1,0,1,0,0,0,0,,,,,no,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,yes,Cash Credit,1,0,0,0,1,0,0,0,0,,5,Private,Pumping_Station_or_Borehole,yes,yes,,1200,1200,1,,,5,yes,7000,8500,Other_see_next_question,0,0,0,0,0,0,0,1,0,0,0,The difference of fuel price,yes,583,,yes,yes,dmg_infra_sorrounding move_restriction,0,1,0,1,0,0,,road electrical water,1,1,1,0,0,,,,,,yes,yes,,v2ZtbFxdMLUeS6K3smMjSx,vKytKhh6ddUjNzJMkxPdc8,72769046,9e79fbe0-6464-4175-813b-b94354296d57,2019-10-30T11:30:12,,144,,
2019-10-31T12:59:23.597+03:00,2019-10-31T13:07:00.793+03:00,2019-10-31,ee.humanitarianresponse.info:pk2dojv5mlg2weOP,2019-10-28,Lamya,SCI,,YE15,YE1522,Alain,Urban,,,,,,no,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,no,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,yes,Cash Credit,1,0,0,0,1,0,0,0,0,,14,Private,Pumping_Station_or_Borehole,no,yes,,2500,2500,3,,,40,yes,12000,15000,Liquidity_shortage,0,1,0,0,0,0,0,0,0,0,0,,yes,570,,yes,no,,,,,,,,,,,,,,,,,,,,yes,yes,,v2ZtbFxdMLUeS6K3smMjSx,vKytKhh6ddUjNzJMkxPdc8,72886118,f500f72e-689c-4884-ac03-b3d75fba5c14,2019-10-31T10:17:33,,164,,
2019-10-30T14:07:49.610+03:00,2019-10-30T14:12:25.982+03:00,2019-10-30,ee.humanitarianresponse.info:pk2dojv5mlg2weOP,2019-10-25,Abdullah,SCI,,YE13,YE1307,Altahrir,Urban,,,,,,no,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,yes,Cash,1,0,0,0,0,0,0,0,0,,yes,yes,,120,120,,,yes,yes,,100,100,,,,yes,yes,,150,150,,,yes,no,110,120,109,,,yes,yes,,550,550,,,YE23,Do_not_know,2,,,,,,,,,,,,,,yes,Cash,1,0,0,0,0,0,0,0,0,,12,Private,Pumping_Station_or_Borehole,yes,yes,,1200,1200,1,,,5,yes,13000,15000,Other_see_next_question,0,0,0,0,0,0,0,1,0,0,0,The ups and downs of fuel price,yes,583,,yes,yes,dmg_infra_sorrounding move_restriction,0,1,0,1,0,0,,road electrical water,1,1,1,0,0,,,,,,yes,no,,v2ZtbFxdMLUeS6K3smMjSx,vKytKhh6ddUjNzJMkxPdc8,72785365,16541e1d-496c-4814-aba8-e77c9875f258,2019-10-30T13:16:14,,159,,
2019-10-27T18:59:45.075+03:00,2019-10-28T08:44:42.109+03:00,2019-10-27,ee.humanitarianresponse.info:107EndGBtHs998PQ,2019-10-27,Ail,NRC,,YE18,YE1806,Public - Main -Road,Urban,,,,,,yes,Cash Mobile_money,1,1,0,0,0,0,0,0,0,,yes,yes,,365,365,,,yes,yes,,430,430,,,YE18,5,Price_inflation Insecurity_and_instability Supply_shortage Transportation_issues,1,0,0,1,1,0,1,0,0,0,0,,,,,yes,Cash Mobile_money Prepaid_cards,1,1,0,1,0,0,0,0,0,,yes,yes,,150,150,,,yes,yes,,100,100,,,,yes,yes,,120,120,,,yes,yes,,80,80,,,yes,yes,,500,500,,,YE18,Vendor,7,,,,,,,,,,,,,,yes,Cash,1,0,0,0,0,0,0,0,0,,10,Private,Pumping_Station_or_Borehole,yes,yes,,1200,1200,1,,,5,yes,13000,15000,Other_see_next_question,0,0,0,0,0,0,0,1,0,0,0,The ups and downs of fuel,yes,583,,yes,yes,dmg_infra_sorrounding move_restriction,0,1,0,1,0,0,,road electrical water,1,1,1,0,0,,,,,,yes,no,,v2ZtbFxdMLUeS6K3smMjSx,vKytKhh6ddUjNzJMkxPdc8,72776509,acdd87b0-06d0-4545-b295-e57ed054a288,2019-10-30T12:13:33,,149,,
2019-10-30T15:59:35.225+03:00,2019-10-30T16:04:00.076+03:00,2019-10-30,ee.humanitarianresponse.info:pk2dojv5mlg2weOP,2019-10-25,Abdullah,SCI,,YE13,YE1305,Almaqaleh,Urban,,,,,,no,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,yes,Cash Credit,1,0,0,0,1,0,0,0,0,,yes,yes,,120,120,,,yes,yes,,120,120,,,,yes,yes,,150,150,,,yes,no,110,120,109,,,yes,yes,,480,480,,,YE23,Do_not_know,2,Price_inflation Transportation_issues,1,0,0,0,0,0,1,0,0,0,0,,yes,Cash,1,0,0,0,0,0,0,0,0,,5,Private,Pumping_Station_or_Borehole,yes,yes,,6000,6000,15,,,15,no,,,Price_inflation Transportation_issues Other_see_next_question,1,0,0,0,0,0,1,1,0,0,0,Increase in Diesel Prices,yes,585,,yes,yes,dmg_infra_sorrounding other,0,1,0,0,1,0,Changes in exchange rates,road electrical water communication,1,1,1,1,0,,yes,no,yes,yes,yes,no,No,v2ZtbFxdMLUeS6K3smMjSx,vKytKhh6ddUjNzJMkxPdc8,72544588,aedf8664-0908-432a-b6db-9aa4b4806ac8,2019-10-28T16:17:23,,101,,
2019-10-31T15:18:18.843+03:00,2019-10-31T15:23:15.207+03:00,2019-10-31,ee.humanitarianresponse.info:pk2dojv5mlg2weOP,2019-10-28,Lamya,SCI,,YE15,YE1521,Alnashma,Urban,,,,,,no,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,yes,Cash Credit,1,0,0,0,1,0,0,0,0,,yes,yes,,100,100,,,no,,,,,,,,yes,yes,,150,150,,,yes,no,110,85,77,,,no,,,,,,,YE24,Do_not_know,2,Price_inflation Transportation_issues,1,0,0,0,0,0,1,0,0,0,0,,yes,Cash,1,0,0,0,0,0,0,0,0,,2,Private,Pumping_Station_or_Borehole,yes,yes,,4000,4000,10,,,12,yes,500,1000,Price_inflation Transportation_issues Other_see_next_question,1,0,0,0,0,0,1,1,0,0,0,Increase in Diesel Prices,yes,585,,no,,,,,,,,,,,,,,,,,,,,,,,No,v2ZtbFxdMLUeS6K3smMjSx,vKytKhh6ddUjNzJMkxPdc8,72523228,5fe3f060-0c1f-4d78-8e04-6cffd45d1e41,2019-10-28T13:58:10,,97,,
