"","JMMI","governorate_ID","total_obs","dist_visited","num_partners","geo","gov_name"
"1","Apr 2019","YE13",48,5,3,"North","Sana'a City"
"2","Apr 2019","YE14",3,1,1,"North","Al Bayda"
"3","Apr 2019","YE15",64,8,4,"Contested","Taizz"
"4","Apr 2019","YE17",25,5,2,"North","Hajjah"
"5","Apr 2019","YE18",44,8,4,"Contested","Al Hudaydah"
"6","Apr 2019","YE20",11,2,2,"North","Dhamar"
"7","Apr 2019","YE21",6,2,1,"South","Shabwah"
"8","Apr 2019","YE22",12,4,2,"North","Sa'ada"
"9","Apr 2019","YE23",30,7,3,"North","Sana'a"
"10","Apr 2019","YE24",20,2,1,"South","Aden"
"11","Apr 2019","YE25",13,2,1,"South","Lahj"
"12","Apr 2019","YE29",10,2,1,"North","Amran"
"13","Apr 2019","YE32",3,1,1,"South","Socotra"
"14","Aug 2019","YE11",12,1,1,"North","Ibb"
"15","Aug 2019","YE13",3,1,1,"North","Sana'a City"
"16","Aug 2019","YE14",3,1,1,"North","Al Bayda"
"17","Aug 2019","YE15",45,8,4,"Contested","Taizz"
"18","Aug 2019","YE17",15,4,3,"North","Hajjah"
"19","Aug 2019","YE18",19,4,3,"Contested","Al Hudaydah"
"20","Aug 2019","YE21",6,2,1,"South","Shabwah"
"21","Aug 2019","YE22",12,4,2,"North","Sa'ada"
"22","Aug 2019","YE23",10,2,1,"North","Sana'a"
"23","Aug 2019","YE24",20,2,1,"South","Aden"
"24","Aug 2019","YE25",13,2,1,"South","Lahj"
"25","Aug 2019","YE29",10,2,1,"North","Amran"
"26","Aug 2019","YE32",3,1,1,"South","Socotra"
"27","Dec 2019","YE11",6,1,1,"North","Ibb"
"28","Dec 2019","YE13",21,5,3,"North","Sana'a City"
"29","Dec 2019","YE14",3,1,1,"North","Al Bayda"
"30","Dec 2019","YE15",49,7,3,"Contested","Taizz"
"31","Dec 2019","YE17",25,5,2,"North","Hajjah"
"32","Dec 2019","YE18",21,4,2,"Contested","Al Hudaydah"
"33","Dec 2019","YE22",4,1,1,"North","Sa'ada"
"34","Dec 2019","YE23",9,3,2,"North","Sana'a"
"35","Dec 2019","YE24",20,2,1,"South","Aden"
"36","Dec 2019","YE25",13,2,1,"South","Lahj"
"37","Dec 2019","YE26",11,2,1,"Contested","Marib"
"38","Dec 2019","YE29",10,2,1,"North","Amran"
"39","Jul 2019","YE11",15,1,1,"North","Ibb"
"40","Jul 2019","YE13",3,1,1,"North","Sana'a City"
"41","Jul 2019","YE14",5,1,1,"North","Al Bayda"
"42","Jul 2019","YE15",61,8,4,"Contested","Taizz"
"43","Jul 2019","YE17",16,4,2,"North","Hajjah"
"44","Jul 2019","YE18",22,5,4,"Contested","Al Hudaydah"
"45","Jul 2019","YE21",6,2,1,"South","Shabwah"
"46","Jul 2019","YE22",4,1,1,"North","Sa'ada"
"47","Jul 2019","YE23",10,3,2,"North","Sana'a"
"48","Jul 2019","YE24",20,2,1,"South","Aden"
"49","Jul 2019","YE25",13,2,1,"South","Lahj"
"50","Jul 2019","YE32",3,1,1,"South","Socotra"
