"","Date","governorate_ID","total_obs","dist_visited","geo","gov_name"
"1",Apr 2019,"YE15",64,8,"Contested","Taizz"
"2",Apr 2019,"YE18",44,8,"Contested","Al Hudaydah"
"3",May 2019,"YE15",66,8,"Contested","Taizz"
"4",May 2019,"YE18",25,6,"Contested","Al Hudaydah"
"5",Jun 2019,"YE15",60,8,"Contested","Taizz"
"6",Jun 2019,"YE18",26,6,"Contested","Al Hudaydah"
"7",Jul 2019,"YE15",61,8,"Contested","Taizz"
"8",Jul 2019,"YE18",22,5,"Contested","Al Hudaydah"
"9",Aug 2019,"YE15",45,8,"Contested","Taizz"
"10",Aug 2019,"YE18",19,4,"Contested","Al Hudaydah"
"11",Sep 2019,"YE15",53,7,"Contested","Taizz"
"12",Sep 2019,"YE18",19,4,"Contested","Al Hudaydah"
"13",Oct 2019,"YE15",48,7,"Contested","Taizz"
"14",Oct 2019,"YE18",22,5,"Contested","Al Hudaydah"
"15",Nov 2019,"YE15",61,11,"Contested","Taizz"
"16",Nov 2019,"YE18",20,4,"Contested","Al Hudaydah"
"17",Nov 2019,"YE26",26,4,"Contested","Marib"
"18",Dec 2019,"YE15",49,7,"Contested","Taizz"
"19",Dec 2019,"YE18",21,4,"Contested","Al Hudaydah"
"20",Dec 2019,"YE26",11,2,"Contested","Marib"
