"","Date","governorate_ID","total_obs","dist_visited","geo","gov_name"
"1",Apr 2019,"YE13",48,5,"North","Sana'a City"
"2",Apr 2019,"YE14",3,1,"North","Al Bayda"
"3",Apr 2019,"YE17",25,5,"North","Hajjah"
"4",Apr 2019,"YE20",11,2,"North","Dhamar"
"5",Apr 2019,"YE22",12,4,"North","Sa'ada"
"6",Apr 2019,"YE23",30,7,"North","Sana'a"
"7",Apr 2019,"YE29",10,2,"North","Amran"
"8",May 2019,"YE11",19,1,"North","Ibb"
"9",May 2019,"YE13",8,3,"North","Sana'a City"
"10",May 2019,"YE14",3,1,"North","Al Bayda"
"11",May 2019,"YE17",20,5,"North","Hajjah"
"12",May 2019,"YE22",14,4,"North","Sa'ada"
"13",May 2019,"YE23",9,3,"North","Sana'a"
"14",May 2019,"YE29",10,2,"North","Amran"
"15",Jun 2019,"YE11",10,1,"North","Ibb"
"16",Jun 2019,"YE13",6,2,"North","Sana'a City"
"17",Jun 2019,"YE14",5,1,"North","Al Bayda"
"18",Jun 2019,"YE17",21,5,"North","Hajjah"
"19",Jun 2019,"YE22",12,4,"North","Sa'ada"
"20",Jun 2019,"YE23",9,3,"North","Sana'a"
"21",Jun 2019,"YE29",10,2,"North","Amran"
"22",Jul 2019,"YE11",15,1,"North","Ibb"
"23",Jul 2019,"YE13",3,1,"North","Sana'a City"
"24",Jul 2019,"YE14",5,1,"North","Al Bayda"
"25",Jul 2019,"YE17",16,4,"North","Hajjah"
"26",Jul 2019,"YE22",4,1,"North","Sa'ada"
"27",Jul 2019,"YE23",10,3,"North","Sana'a"
"28",Aug 2019,"YE11",12,1,"North","Ibb"
"29",Aug 2019,"YE13",3,1,"North","Sana'a City"
"30",Aug 2019,"YE14",3,1,"North","Al Bayda"
"31",Aug 2019,"YE17",15,4,"North","Hajjah"
"32",Aug 2019,"YE22",12,4,"North","Sa'ada"
"33",Aug 2019,"YE23",10,2,"North","Sana'a"
"34",Aug 2019,"YE29",10,2,"North","Amran"
"35",Sep 2019,"YE11",7,1,"North","Ibb"
"36",Sep 2019,"YE13",23,3,"North","Sana'a City"
"37",Sep 2019,"YE14",3,1,"North","Al Bayda"
"38",Sep 2019,"YE17",40,9,"North","Hajjah"
"39",Sep 2019,"YE22",10,4,"North","Sa'ada"
"40",Sep 2019,"YE23",6,2,"North","Sana'a"
"41",Oct 2019,"YE11",8,1,"North","Ibb"
"42",Oct 2019,"YE13",23,3,"North","Sana'a City"
"43",Oct 2019,"YE14",3,1,"North","Al Bayda"
"44",Oct 2019,"YE17",35,9,"North","Hajjah"
"45",Oct 2019,"YE22",3,1,"North","Sa'ada"
"46",Oct 2019,"YE23",7,2,"North","Sana'a"
"47",Oct 2019,"YE29",10,2,"North","Amran"
"48",Nov 2019,"YE11",10,1,"North","Ibb"
"49",Nov 2019,"YE13",13,3,"North","Sana'a City"
"50",Nov 2019,"YE14",4,1,"North","Al Bayda"
"51",Nov 2019,"YE17",40,9,"North","Hajjah"
"52",Nov 2019,"YE22",19,5,"North","Sa'ada"
"53",Nov 2019,"YE23",11,3,"North","Sana'a"
"54",Nov 2019,"YE29",10,2,"North","Amran"
"55",Dec 2019,"YE11",6,1,"North","Ibb"
"56",Dec 2019,"YE13",21,5,"North","Sana'a City"
"57",Dec 2019,"YE14",3,1,"North","Al Bayda"
"58",Dec 2019,"YE17",25,5,"North","Hajjah"
"59",Dec 2019,"YE22",4,1,"North","Sa'ada"
"60",Dec 2019,"YE23",9,3,"North","Sana'a"
"61",Dec 2019,"YE29",10,2,"North","Amran"
