"","Date","governorate_ID","total_obs","dist_visited","geo","gov_name"
"1",Apr 2019,"YE21",6,2,"South","Shabwah"
"2",Apr 2019,"YE24",20,2,"South","Aden"
"3",Apr 2019,"YE25",13,2,"South","Lahj"
"4",Apr 2019,"YE32",3,1,"South","Socotra"
"5",May 2019,"YE21",6,2,"South","Shabwah"
"6",May 2019,"YE24",20,2,"South","Aden"
"7",May 2019,"YE25",13,2,"South","Lahj"
"8",May 2019,"YE32",3,1,"South","Socotra"
"9",Jun 2019,"YE21",6,2,"South","Shabwah"
"10",Jun 2019,"YE24",20,2,"South","Aden"
"11",Jun 2019,"YE25",13,2,"South","Lahj"
"12",Jun 2019,"YE32",3,1,"South","Socotra"
"13",Jul 2019,"YE21",6,2,"South","Shabwah"
"14",Jul 2019,"YE24",20,2,"South","Aden"
"15",Jul 2019,"YE25",13,2,"South","Lahj"
"16",Jul 2019,"YE32",3,1,"South","Socotra"
"17",Aug 2019,"YE21",6,2,"South","Shabwah"
"18",Aug 2019,"YE24",20,2,"South","Aden"
"19",Aug 2019,"YE25",13,2,"South","Lahj"
"20",Aug 2019,"YE32",3,1,"South","Socotra"
"21",Sep 2019,"YE21",6,2,"South","Shabwah"
"22",Sep 2019,"YE24",15,2,"South","Aden"
"23",Sep 2019,"YE25",13,2,"South","Lahj"
"24",Oct 2019,"YE21",6,2,"South","Shabwah"
"25",Oct 2019,"YE24",21,2,"South","Aden"
"26",Oct 2019,"YE25",13,2,"South","Lahj"
"27",Nov 2019,"YE21",8,2,"South","Shabwah"
"28",Nov 2019,"YE24",15,2,"South","Aden"
"29",Nov 2019,"YE25",13,2,"South","Lahj"
"30",Dec 2019,"YE24",20,2,"South","Aden"
"31",Dec 2019,"YE25",13,2,"South","Lahj"
